omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.51123,13.13529,-2.35023,1.05715,0.95717,0.21022,0.62077,-0.51419,0.69363,0.79618,0.60042,-0.32666
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.59574,14.1363,0.16854,0.72381,0.28447,0.65873,0.42392,0.89216,0.51999,-0.63126,0.98823,-0.32854
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.23634,13.92429,-0.79142,0.75261,0.12875,0.60935,0.26564,-0.5747,-0.04816,-0.92325,-0.16718,-0.92588
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.00538,14.02373,-1.5202,0.92192,0.66835,0.91717,0.44139,-0.97831,-0.39497,0.46707,-0.93441,0.9442
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.83316,14.72083,-2.33262,0.98143,0.90118,0.44648,1.19106,-0.93782,0.61484,0.09786,0.48416,-0.92592
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.62404,14.33403,-0.68224,0.76671,0.16824,0.05287,1.29616,0.30492,0.76146,0.42156,0.76382,0.75397
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.07907,13.87155,-2.30155,1.34,0.89763,0.09385,1.8819,0.24136,-0.45094,-0.13263,0.83164,0.43589
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.58494,13.93666,-1.63709,1.35665,0.54323,0.07832,0.01749,-0.12224,0.51992,-0.02987,-0.01204,-0.33457
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.87291,13.8999,-1.61174,0.61642,1.45089,0.71724,0.57658,-0.36521,0.90236,0.19942,0.83575,0.52221
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.29458,14.23856,-1.14388,0.94732,1.34206,0.1489,1.13867,-0.99031,0.44357,-0.53164,-0.36885,-0.5258
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.56792,14.07777,-1.13629,1.39513,0.9474,0.42548,0.47503,-0.42376,0.18249,0.5173,0.68491,0.90569
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.83515,14.32043,-1.43873,1.49542,0.81869,0.08678,0.1153,-0.98661,-0.31843,0.02403,0.5165,0.22033
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.02846,14.29927,-0.81013,0.93158,0.74823,0.87982,1.46976,0.51094,-0.34927,-0.70825,0.98125,0.0395
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.60403,14.77434,-0.30405,1.078,1.00941,0.47683,1.35517,0.20241,-0.28854,0.54781,-0.4562,-0.95278
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.10006,14.93462,0.59143,0.53612,0.60682,0.88602,0.41125,-0.19878,-0.68048,0.02981,0.0562,0.86644
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.099,13.41118,-0.63546,1.14446,0.54618,0.93181,0.94553,0.73508,0.5052,0.74089,-0.70176,0.57543
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.32073,14.91759,-3.23118,0.6553,0.44207,0.88316,1.56752,0.89219,0.788,0.01304,-0.48538,0.17118
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.14926,14.66046,-1.56545,0.91656,0.34259,0.65461,0.37669,0.4332,-0.87044,0.24716,0.16592,0.28983
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.84568,14.18618,-2.57882,0.70754,1.01905,0.75548,1.61396,0.05339,-0.32654,-0.70081,-0.67722,0.85714
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.9096,13.04436,0.14873,1.39925,1.08896,0.71535,0.7057,0.15073,0.3054,-0.01516,0.89617,0.95897
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.83824,13.6411,0.78921,0.78883,0.70821,0.05761,1.43629,0.42932,0.79759,-0.45163,0.16663,-0.85741
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.64271,14.76019,-1.0672,0.82226,1.38241,0.20127,1.78858,-0.09898,0.35053,0.15672,0.00411,0.91995
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.21869,14.00913,-1.33812,0.59729,1.44037,0.43553,1.45457,0.48821,0.97726,-0.7557,0.82542,-0.84556
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.88619,14.63907,-2.36968,0.62731,0.08465,0.68638,0.60257,-0.33765,0.98206,0.30223,0.59126,-0.27127
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.3165,14.53453,-0.10127,1.45737,1.25075,0.85413,1.01286,0.22005,0.84565,-0.9265,-0.79033,-0.09885
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.29101,13.5039,-1.34206,0.55323,0.49857,0.15623,1.49369,-0.56938,0.77554,-0.11401,-0.84543,0.27787
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.41807,13.75752,-2.56123,0.752,0.87154,0.06298,0.65538,-0.68531,0.59328,-0.98777,-0.06113,0.83994
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.12128,13.88327,-1.80358,1.03326,0.07434,0.41852,0.67237,-0.96512,-0.23023,0.50333,-0.34548,-0.77564
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.61332,14.79283,-1.74737,0.58065,1.14336,0.67434,1.97454,0.40346,-0.93331,0.05208,0.99722,-0.79965
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.28593,14.92762,0.46689,1.08097,1.35357,0.65288,0.97877,0.16521,-0.40054,0.84371,-0.25002,-0.03268
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.574,14.30582,-1.26674,1.23945,0.07382,0.76991,0.98781,0.19442,-0.85684,0.42371,-0.96927,-0.91358
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.86047,13.19294,-3.41626,1.43443,1.49232,0.80693,1.74311,0.37449,-0.03291,-0.91893,0.60401,0.79755
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.18406,14.00345,-0.84522,0.64442,1.0808,0.15743,0.37587,0.36907,0.00965,0.18929,0.92289,0.91004
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.27004,13.29578,-2.09945,1.18516,0.06145,0.51728,0.25914,-0.9553,-0.46877,-0.29966,-0.25789,0.13804
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.96514,14.16712,0.59285,0.69879,0.82532,0.69318,1.79189,-0.08301,-0.8536,0.05584,0.12133,-0.17582
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.63112,14.97816,-0.35352,0.69132,0.80364,0.34755,1.84262,-0.55924,0.16096,-0.35782,0.43764,0.95313
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.0823,14.01918,-2.70264,1.42258,1.0459,0.68004,0.96723,-0.04987,-0.73793,0.49081,0.55159,0.73077
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.85898,14.23327,-2.85849,0.79975,1.48354,0.04621,0.37286,-0.63338,-0.68919,0.96514,-0.12759,0.24892
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.38868,14.45705,0.15909,0.68119,0.20351,0.2475,1.5407,0.19348,-0.52289,-0.6011,-0.99987,-0.44414
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.02745,14.45905,-1.66785,0.84377,0.2506,0.04196,1.69427,-0.97825,-0.69183,-0.36281,-0.35951,-0.40632
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.3248,14.83114,-1.99425,0.54405,0.88742,0.41003,1.28058,-0.52192,0.11965,-0.69899,-0.72405,-0.34481
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.72556,13.15949,-1.01704,1.3009,1.37904,0.51523,0.42489,-0.73325,0.5049,0.31409,-0.2913,-0.02816
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.74457,14.80412,-1.33257,0.59906,0.18796,0.13059,1.40722,-0.40699,-0.89914,0.97528,0.64804,-0.63294
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.29112,14.51679,0.96839,1.4988,0.02586,0.70695,1.04967,-0.57356,-0.7315,0.55569,-0.57588,0.07784
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.05144,14.86428,-0.5056,0.59037,0.00982,0.85268,1.47663,0.57645,0.69185,0.24003,0.80732,0.77083
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.71075,13.22601,0.56185,0.50026,1.40475,0.24846,0.17445,-0.75586,-0.95798,-0.97133,-0.37331,0.29877
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.73744,13.56658,-2.09732,1.15862,0.10166,0.26186,0.22464,-0.31615,0.25053,0.73679,-0.20851,0.11184
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.69037,13.06148,-1.88876,0.60735,0.24265,0.93435,0.57537,-0.91706,0.77293,0.54797,0.41726,-0.14201
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.89921,14.00807,0.06197,0.62631,1.38003,0.71856,1.32074,0.69746,-0.64964,-0.36389,-0.78205,-0.62025
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.58011,13.5389,-2.1576,1.25086,0.90269,0.43027,0.87554,0.40097,0.11513,0.45335,-0.2251,-0.7638
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.10495,14.26134,0.56689,0.91436,0.29578,0.71621,1.78217,-0.76235,-0.66337,-0.90162,-0.0899,0.3407
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.86913,14.17923,0.43262,0.63552,0.9752,0.18819,1.89089,0.89605,-0.35863,0.43866,0.39179,0.20036
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.74047,13.41573,-0.44855,1.35823,0.45393,0.64296,0.33435,0.97587,-0.51442,-0.99839,0.20637,0.85024
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.43991,13.38389,0.62753,1.08038,0.48573,0.17779,1.6087,0.20964,-0.09613,-0.13929,-0.12892,0.54103
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.12515,13.50248,-2.73739,0.57307,0.18227,0.39924,0.97919,0.58133,0.22512,-0.53891,0.56195,0.08858
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.7245,13.74171,-2.04838,0.52827,1.29296,0.41188,1.12005,0.17987,0.31947,0.96713,0.16712,0.18365
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.38223,14.73232,-1.06785,0.69867,1.41439,0.71564,1.53712,0.2434,-0.64962,-0.61845,-0.53925,0.74444
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.80729,14.37535,-3.35747,1.05283,0.35672,0.3147,1.31148,0.96149,0.81572,0.98828,-0.54018,-0.36752
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.3934,13.39732,0.36874,0.57342,0.93703,0.6573,1.18754,-0.17467,0.12378,0.32337,-0.59852,-0.08989
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.51025,14.99312,-0.21112,1.08763,0.80688,0.37531,0.89953,-0.56379,0.92881,-0.69538,0.79011,0.7327
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.59959,14.11329,-2.01214,1.35751,0.87127,0.5666,0.80323,-0.5842,-0.08785,0.60431,-0.90247,0.89628
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.74637,14.35167,-0.04923,0.5534,1.49599,0.80377,0.64498,0.41899,0.35184,0.24976,-0.5097,-0.37366
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.12906,13.54703,-1.82991,1.04123,0.03303,0.65435,1.2513,-0.72918,-0.13695,0.40103,0.26591,0.54335
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.04214,13.19682,-0.75359,0.56608,0.90796,0.49876,0.96058,0.03685,-0.26578,0.63581,-0.03847,0.7618
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.57184,13.57369,-0.09395,0.8825,0.54593,0.34078,1.40338,0.56412,0.23404,0.53649,-0.70269,-0.17712
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,12.14793,13.94907,-3.03108,1.14208,0.31197,0.76436,0.05544,-0.04162,0.04179,0.20865,-0.79978,0.83475
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.72507,13.38694,-0.03887,0.64175,0.40197,0.06841,1.78213,0.34719,-0.70386,0.72928,0.79162,-0.69485
0.02242,0.1134,0.776779,0.9638,0.0,2.0328,-1.0,0.0,13.43862,14.89952,-1.38066,0.87174,0.10057,0.95968,0.37189,0.3014,-0.35134,0.82119,-0.96125,-0.04114
