omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.07544,14.17648,-2.93635,1.28613,0.17084,0.9036,0.26386,0.05276,-0.00154,0.4284,-0.39353,0.68644
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.55612,13.64552,-2.00265,0.6332,1.29055,0.40441,0.42435,-0.20057,0.46033,0.52606,-0.62095,0.29752
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.90126,13.43999,-0.75279,0.74771,1.2008,0.72555,0.54251,0.53491,0.69883,0.86093,-0.66719,0.32602
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.00499,13.77568,-3.34059,0.86908,0.49928,0.23334,0.48864,-0.81659,-0.79419,0.47786,-0.43235,0.58917
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.73606,13.81719,-1.95815,0.99218,1.07655,0.74982,1.04833,-0.15699,0.70882,-0.87767,0.47357,0.37633
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.03073,13.30749,-0.94978,0.57727,1.29698,0.90321,1.4634,0.23527,-0.90167,0.89443,-0.2534,0.64378
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.83701,14.35888,-2.75253,1.10396,1.47803,0.90203,1.17389,0.4498,0.02344,-0.56503,-0.25234,-0.7697
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.71371,13.01933,-3.30249,0.63278,0.20131,0.36286,0.98882,-0.51277,-0.78745,-0.26131,0.35625,0.14918
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.71266,13.88987,0.3698,1.06127,1.15524,0.59905,1.43625,0.30999,-0.65809,0.72133,-0.38633,-0.24648
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.46655,14.6476,-2.47317,0.80439,0.80829,0.17469,1.59487,0.47615,0.5971,-0.21715,-0.29721,-0.77185
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.69541,14.53652,-2.88791,1.10671,0.46146,0.87791,0.85331,0.54049,0.75505,0.48115,-0.00021,-0.12727
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.83433,13.64407,-1.16301,0.5265,0.93296,0.01634,1.9039,-0.68148,0.44029,0.89137,-0.60056,-0.92577
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.8666,14.37337,-1.29126,0.53305,0.61923,0.11423,0.85397,0.3539,-0.73181,0.06614,0.56324,0.12713
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.83904,14.26376,-2.18026,1.05124,0.81832,0.13855,0.50918,0.1399,0.74693,0.80797,-0.1447,0.11099
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.14047,13.75314,-0.84619,1.42687,1.46914,0.21732,0.70889,0.57315,0.9424,-0.21785,0.62247,0.18511
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.12358,14.83999,-2.8949,0.5043,0.36762,0.15113,0.01122,-0.39199,0.40779,-0.9088,0.09793,0.50148
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,12.14769,13.39273,-0.6727,1.17926,0.2432,0.39132,1.63965,0.69098,0.28,-0.89881,-0.44719,-0.09341
0.02237,0.12,0.808189,0.9649,0.0,2.0328,-0.7,-0.5,13.60311,13.60219,-1.86637,0.84676,1.07685,0.54334,0.04881,0.09,0.09611,-0.28474,-0.33406,0.0056
