omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.10097,13.21607,-0.47983,0.64938,0.27612,0.2853,1.24706,0.92741,0.36687,-0.42636,0.68499,-0.20114
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.07521,14.38816,-0.58342,0.65987,0.22634,0.87526,0.85918,0.34052,0.19329,-0.11535,0.12701,-0.09925
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.28408,13.2103,-2.50501,0.71092,0.41048,0.55689,0.14546,0.57465,0.49642,-0.25127,-0.42195,-0.54972
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,12.28851,13.94051,-1.07689,0.53498,1.12142,0.37745,0.90215,-0.38663,0.76375,0.52958,-0.6216,0.76343
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,12.50237,14.32135,-2.32526,1.23539,1.19106,0.4074,1.54021,0.87452,-0.17208,0.73376,0.23623,0.20752
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.19849,14.02411,0.88632,0.5996,0.48418,0.45911,0.86872,0.76756,0.10796,-0.4949,0.88283,0.93868
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.90288,14.5728,-0.35991,0.9337,0.35474,0.24677,0.68202,0.29543,0.93072,-0.80686,-0.2939,0.81986
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,12.33289,13.29498,-3.34641,1.13304,0.68312,0.2514,1.58772,-0.79026,0.9557,0.67378,0.76496,0.88961
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.66359,14.61298,-0.26246,1.24061,0.52963,0.44576,0.18986,0.47438,0.82997,-0.39039,-0.61004,-0.18558
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,12.78872,14.17683,-0.80015,1.24319,0.77407,0.1856,1.50838,-0.23526,0.86205,-0.42474,-0.76501,-0.72008
0.02289,0.1201,0.714913,0.938,0.0,2.0328,-0.925,0.393,13.2527,13.99576,-0.84472,0.69036,0.64694,0.64228,0.52168,-0.79727,-0.86438,-0.5858,0.32177,-0.14034
