omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.92815,13.61871,-1.99135,1.44187,0.91084,0.19173,1.78173,-0.04829,0.19698,0.75641,0.16736,0.01229
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.54646,13.38683,-2.60909,1.27685,1.17017,0.15523,0.8799,0.07949,0.86243,0.20418,-0.72387,-0.04998
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.82435,14.02017,-2.51176,0.67425,1.41685,0.86235,0.76425,0.25016,-0.50531,0.91622,0.96965,0.9311
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.35426,13.40478,-1.00799,1.30169,0.92933,0.0141,0.46585,-0.43465,0.88837,0.9295,-0.96553,0.70012
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,12.88501,14.38086,-1.89502,0.994,1.01122,0.65898,1.57107,-0.8732,-0.42762,0.42533,-0.45222,-0.8245
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.87432,13.36712,-0.25192,1.18455,0.14467,0.45837,0.50777,0.06928,-0.83061,0.16084,-0.1249,0.20308
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.21256,14.96482,-0.68907,1.37995,0.18588,0.9612,1.79153,0.10584,0.832,0.0651,-0.15882,0.17176
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,12.65446,14.98065,0.57027,1.42737,0.78252,0.55595,1.2001,-0.01498,-0.55479,0.12249,-0.20197,-0.03747
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,13.99721,14.27276,-0.92843,1.37848,0.36816,0.53923,1.11948,-0.88124,0.47078,0.86732,-0.37073,0.3958
0.02237,0.1161,0.808075,0.9649,0.0,2.0328,-1.0,0.0,12.66185,14.61478,-2.38461,0.74173,0.21061,0.34926,0.07575,-0.92624,0.92372,-0.56824,0.47828,0.80327
