omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.85942,13.29857,-2.48871,0.83317,1.18319,0.47958,0.62365,0.59959,-0.8133,0.59178,-0.0281,0.11119
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.64059,13.72611,-1.39079,0.82795,0.51214,0.43562,0.52828,0.55889,0.24265,0.06114,-0.24444,0.2472
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.97314,14.19082,-2.52309,1.41511,0.32665,0.33309,1.27833,-0.1005,0.53408,-0.71508,-0.17097,-0.66962
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.26565,13.596,-1.25599,0.53084,0.04078,0.25675,0.77039,0.87393,0.01693,0.07465,-0.83552,-0.3108
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.85404,14.14438,-0.68927,1.16107,1.22783,0.60971,0.97762,-0.35704,-0.03457,-0.13956,0.32562,0.57773
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.35694,13.89585,-3.13183,0.71013,1.0758,0.55399,0.28308,0.80007,0.33047,-0.78042,0.76174,-0.3668
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.00925,13.59869,0.14655,1.39151,1.26168,0.66007,1.5548,0.63046,-0.55455,-0.63944,0.42983,0.68086
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.84138,14.43787,0.53006,0.87186,1.47719,0.15962,1.44676,-0.54366,-0.33494,0.46473,-0.5571,0.20771
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.93865,14.17496,-1.65681,1.1893,0.95867,0.42687,1.87918,-0.0566,-0.69643,0.71405,0.52813,0.8297
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.16217,13.05903,-2.59853,0.96538,0.66089,0.78169,1.49748,-0.84955,-0.96491,0.70604,0.88865,-0.41133
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.13829,13.3413,-3.28946,1.4775,1.04425,0.86475,0.9326,-0.45708,-0.78942,-0.15915,0.0399,-0.21195
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.23795,13.53351,-0.01134,0.5199,1.32174,0.465,0.30806,-0.46046,0.09636,0.34637,0.17906,-0.00416
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.12774,14.42997,0.07027,1.47434,0.81596,0.02266,0.27079,-0.10302,-0.63236,-0.29549,-0.65586,0.59652
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.59901,14.25394,0.49064,1.05137,0.25595,0.41787,0.12715,-0.06958,-0.35488,0.39207,-0.7686,-0.32945
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.79855,13.02835,-0.68193,1.21757,1.23687,0.51696,1.24397,0.70474,-0.55451,-0.41525,-0.21206,-0.19109
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.29876,14.26452,-2.67505,1.31306,1.37152,0.51565,0.5509,-0.33725,-0.57743,0.19379,0.161,-0.80833
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.7441,14.63114,-0.37969,0.82124,0.12569,0.62348,0.03583,-0.58829,-0.53995,-0.08996,-0.99633,-0.88835
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.37323,14.98097,-1.72923,1.20155,0.75306,0.91042,0.27869,0.12664,-0.02804,-0.24402,-0.67254,-0.09784
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.52152,13.52018,-0.3372,1.00699,0.51041,0.1177,0.69561,-0.20447,0.16559,0.3588,0.53154,-0.2836
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.7503,13.80102,-0.52705,1.00462,0.70362,0.21808,0.01882,-0.3738,-0.30302,-0.7056,0.64628,0.25176
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.23988,13.9399,-2.5563,0.88065,1.21203,0.40643,1.39736,-0.10414,0.66485,-0.68696,-0.98608,-0.72462
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,13.76263,14.637,-0.72969,0.76599,0.59301,0.89419,1.58737,-0.18202,-0.07458,-0.44537,0.6687,-0.95005
0.02108,0.1138,0.821432,0.9723,0.0,2.0328,-1.0,0.0,12.63878,13.72167,0.85663,0.50669,1.00482,0.91419,0.78585,-0.92384,0.67539,-0.95917,0.74212,0.13793
