omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.83251,13.32966,0.32019,0.68742,0.39629,0.26491,0.45762,0.04352,0.2441,-0.29572,0.31289,0.91468
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.75404,14.54364,-1.40519,0.80876,0.84202,0.58279,1.31756,-0.99082,-0.27467,0.10396,0.82377,-0.98829
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.19059,13.57461,-1.49146,1.13331,1.12487,0.43134,0.14949,-0.3722,-0.28531,0.93861,-0.00139,0.71597
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.71692,14.4236,-2.01743,0.84038,0.09553,0.64935,0.65111,0.67389,-0.18231,-0.23536,0.39502,-0.56545
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.88747,13.32737,-2.51522,0.74044,1.25859,0.31387,1.33659,0.83852,-0.77476,-0.8269,0.55145,-0.5755
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.05277,13.01105,0.54873,0.76306,0.04509,0.83226,0.31594,0.40136,0.58321,-0.31639,0.85628,-0.33345
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.40406,14.3934,-2.69618,1.35072,0.74062,0.37109,0.60953,0.48699,-0.60653,0.38386,0.23917,-0.71728
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.04781,14.73185,0.7049,0.82206,0.06005,0.50003,1.19402,-0.10087,-0.7526,-0.49702,0.68694,0.44713
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.56109,14.70131,-1.94204,0.93206,0.51162,0.21489,0.39408,-0.22384,-0.79449,-0.76868,-0.25196,-0.50615
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.58921,13.50624,-0.86159,1.34084,0.63169,0.66801,1.11192,-0.44869,-0.57981,0.60458,-0.03604,0.76145
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.65753,13.18156,-1.0496,1.40601,0.17382,0.78272,0.56631,0.55848,0.72489,-0.81835,-0.00797,0.2638
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.07718,14.91442,-1.37295,1.43913,0.96123,0.6917,0.39269,-0.69443,0.83804,-0.75497,-0.71609,0.14239
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.39046,14.93563,-2.50542,1.43004,1.08075,0.9289,1.18316,0.67394,0.77421,0.76899,0.12566,-0.48938
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.7838,14.76966,-2.45334,1.36778,1.27382,0.08666,0.09236,-0.4091,-0.98161,-0.75011,-0.57725,0.82303
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.44037,14.36751,-1.34058,1.47413,0.34123,0.89626,0.54573,0.56611,-0.85688,0.44512,0.72369,0.14287
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.77145,13.71151,0.40213,0.80121,0.68479,0.51835,1.5577,-0.44643,0.99471,-0.42954,0.12286,0.52488
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.26784,13.16807,-2.05197,0.88693,0.45008,0.90864,0.08096,0.10562,-0.45038,0.87833,-0.80905,-0.369
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.97727,13.81612,-2.76036,0.63476,0.89192,0.61718,0.42506,-0.7035,0.06955,0.39142,-0.27782,-0.08077
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.74696,14.41692,-0.90108,1.46169,0.87879,0.34405,1.94008,0.10225,-0.14709,0.11653,0.28443,0.03295
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.54576,14.86225,-2.02318,1.11405,0.43375,0.40174,1.64199,-0.88538,0.31195,0.29109,0.15609,0.45128
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.76803,14.37934,-1.61054,1.06387,0.30581,0.31811,1.02478,-0.04282,-0.02598,-0.2122,0.13089,-0.20038
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.66646,14.96028,-1.7515,0.89124,0.35774,0.27357,0.1372,0.31263,-0.88562,-0.10883,-0.61997,0.91969
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.52017,13.42803,-3.44367,1.45588,1.10278,0.78979,1.90326,-0.76279,-0.26595,0.73347,0.73903,-0.25445
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.21324,14.37251,-1.28891,0.53163,1.11072,0.16265,1.94666,-0.57071,0.9153,0.27757,-0.42183,0.03542
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.50478,14.47848,0.84265,1.30386,0.93885,0.82595,1.75022,-0.45088,0.72892,0.67246,0.34486,0.33635
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,13.39337,13.08953,0.58245,0.64454,0.07021,0.1566,0.57287,0.30831,-0.83686,-0.94757,-0.08067,0.48406
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.58234,14.34081,-1.91196,0.53799,1.19858,0.04836,1.67217,0.38727,-0.5815,0.07103,0.39742,0.8467
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.49658,14.39599,0.14166,1.08745,0.42733,0.98396,0.8319,-0.86413,-0.25842,-0.50304,0.47424,-0.21885
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.45138,14.9714,-1.7781,1.32766,0.63669,0.86369,0.99629,-0.0512,0.98626,-0.98864,0.28097,-0.80708
0.02237,0.1326,0.808458,0.9649,0.0,2.0328,-1.0,0.0,12.45062,14.26155,-0.85708,1.27376,0.87459,0.51828,1.6924,-0.53232,-0.81687,0.70568,-0.27788,0.09201
