omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.47706,13.15055,-1.39252,1.42732,0.95482,0.18261,0.93407,-0.64231,-0.395,-0.19507,0.86091,0.52577
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.4333,13.81003,-2.19411,0.79289,1.38026,0.12584,1.47095,0.70881,-0.30452,-0.70248,0.9159,0.05589
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.35081,14.4869,0.06669,1.26789,1.37834,0.97861,1.84821,0.97785,-0.67803,0.04293,0.57318,-0.39525
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.12062,13.62318,-1.83328,0.74417,1.16677,0.32217,1.33038,0.64749,0.65338,0.64548,-0.23965,-0.4858
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.06021,14.08779,-2.86627,1.25301,0.07046,0.23735,0.42129,0.52801,-0.84091,0.40452,-0.73036,-0.34868
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.15507,14.49458,-0.02183,1.19892,0.65266,0.51143,1.47395,-0.98277,-0.00662,-0.62654,-0.83803,0.93413
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.1325,14.66574,-1.7318,0.50101,1.19231,0.62349,0.9846,-0.20441,-0.19663,0.44683,0.02971,0.49547
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.12481,13.60669,-0.1337,1.46709,0.60633,0.66291,0.64035,0.46613,-0.30667,0.94624,-0.55406,-0.04609
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.96867,14.40009,-0.46014,0.56282,1.18143,0.09816,0.00314,0.44318,-0.12497,-0.51584,0.51688,-0.01477
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.98354,14.13116,-1.03225,0.55844,1.20383,0.2692,0.66198,-0.26647,0.42253,0.1489,-0.54588,0.0092
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.01046,13.37847,-3.33783,0.97562,1.21618,0.22443,1.72753,-0.04666,-0.70072,0.89725,0.14304,0.92418
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.78401,14.48457,-1.3748,1.22777,0.21708,0.86117,1.11132,-0.26347,-0.70084,0.64956,-0.65651,0.04995
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.97264,13.005,-2.70021,0.97498,0.50372,0.43803,0.66076,0.59,-0.99389,0.90236,-0.46935,-0.06113
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.04026,13.87219,-0.79384,1.38372,1.02174,0.49939,1.35188,-0.22917,-0.1154,-0.78987,-0.14236,-0.50941
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.59048,14.17603,-2.08145,0.92174,1.35592,0.96168,1.87579,-0.16666,-0.51565,0.72554,-0.38966,0.97185
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,13.71699,14.69592,-2.71097,0.91664,1.22508,0.87138,1.18643,-0.98505,0.52812,-0.67941,-0.35193,-0.6185
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.41696,14.08724,-0.93843,1.20858,0.90448,0.9666,1.90741,-0.09842,0.86253,0.01988,0.86019,0.73984
0.02173,0.1336,0.70876,0.9898,-0.003,2.7456,-0.911,0.35,12.96773,14.58998,-1.39334,0.93611,1.11292,0.15276,0.88851,-0.47278,-0.74215,-0.23299,0.50429,0.47561
