omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.02827,14.19627,-2.50427,0.96018,0.70683,0.67474,1.29689,0.99564,-0.06307,0.8158,0.58432,0.94705
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.75251,14.49064,-1.68278,0.74158,0.72285,0.22528,0.25862,-0.85128,0.51789,0.32279,0.02503,0.25614
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.17616,14.14948,0.72681,0.55147,1.41445,0.90812,1.98712,0.57765,-0.5044,-0.22381,0.35133,-0.67316
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.37223,13.58846,0.31433,0.73071,1.32863,0.36525,1.11826,0.29993,-0.67967,0.47391,-0.86696,0.04126
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.00399,13.09427,-1.65948,1.10866,1.21133,0.18154,0.48721,0.29892,0.51,0.89093,-0.0121,0.38112
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.1334,13.77691,-3.19628,0.99012,0.80123,0.23137,0.51241,-0.28787,0.91685,-0.53407,0.83625,0.07757
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.22053,14.31325,-2.54964,0.80812,0.08491,0.53287,0.01893,-0.70607,0.95146,0.59674,0.89588,0.12107
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.24634,13.84884,-1.05535,0.59054,0.90983,0.56918,0.51135,-0.9785,-0.31374,0.11403,-0.62503,-0.69098
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.77622,13.6981,-1.93409,1.05181,0.75755,0.37498,0.89811,0.77592,-0.1749,-0.16576,0.67044,-0.75397
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.25957,14.63262,-0.58201,1.02283,1.27386,0.86477,0.97243,0.81496,0.56148,-0.67329,0.73893,0.64274
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.43143,13.44786,-1.3729,0.57673,0.56228,0.03979,1.85417,-0.87508,0.91287,-0.72067,0.84664,-0.76937
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.63199,14.67132,-2.54832,1.16264,0.98307,0.15865,0.03138,0.19157,-0.7296,-0.59673,-0.86212,-0.33431
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.62986,13.54032,-0.4825,1.23674,0.52215,0.56562,1.81321,0.35119,-0.50124,-0.48416,0.03557,-0.77073
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.29762,14.33188,0.15936,1.33893,0.72024,0.15778,0.09622,0.23115,-0.26539,0.41731,0.50952,-0.79701
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.18421,13.99852,-1.8037,1.39126,1.02453,0.12966,1.77261,0.79843,-0.55777,0.60431,0.87203,-0.38234
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.25534,13.20403,-1.55027,1.04614,0.89563,0.30377,0.21752,-0.94052,0.92299,-0.22084,-0.45029,-0.96024
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.04084,13.11028,0.41716,1.29737,1.39011,0.83583,1.67888,0.49557,0.52702,-0.57782,-0.36979,-0.55231
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.68664,14.82272,-1.07919,0.64934,0.45339,0.7103,0.87283,-0.34351,0.96926,-0.66599,-0.48822,0.33967
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.70641,14.19238,0.63129,1.22676,0.56203,0.66717,0.8609,0.8279,-0.58166,0.15796,0.47671,-0.2143
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.37918,14.65833,-1.36182,1.17255,0.09257,0.83592,0.63074,-0.85019,0.97105,0.50708,-0.89987,0.81851
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.7962,14.2475,-2.07997,1.12297,1.01276,0.10452,0.35736,0.62553,-0.06585,-0.31867,0.12461,0.34864
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.61885,14.93938,-2.2599,1.46436,0.48373,0.32736,0.91361,0.10418,-0.30035,-0.61172,-0.45794,0.45387
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.12736,14.36314,0.89239,1.40481,0.39227,0.09882,1.31656,0.68504,-0.60925,-0.99326,-0.94291,-0.26922
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.65818,13.01,-2.12903,0.79194,0.40802,0.65651,0.90406,0.11094,0.61915,0.76352,-0.72224,0.74692
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,13.41674,13.84851,0.64868,1.39085,0.36782,0.56814,0.07784,0.97459,0.42846,0.29355,0.10709,0.02532
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.36854,14.18481,-3.25798,0.74439,1.28275,0.41581,0.35342,0.95356,0.21067,0.01709,0.65655,-0.23472
0.02097,0.118,0.762696,0.9351,0.0,2.0328,-1.0,0.0,12.34827,13.70986,-1.74113,0.66113,0.5026,0.59096,0.36701,-0.31134,0.50139,-0.74878,0.39907,0.02495
