omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.12918,13.13635,-2.05511,0.85741,0.55355,0.79405,0.22919,0.74802,-0.30009,0.13469,0.9564,0.46974
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.86447,14.66445,-1.23236,0.56798,0.38578,0.92668,1.61189,-0.83748,-0.1834,-0.11157,0.71289,-0.38177
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.32199,13.18264,-1.88048,1.07818,0.7466,0.66665,1.08634,0.20729,-0.83095,-0.07316,0.79938,-0.61132
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.36649,14.9043,-2.79531,1.09874,0.79589,0.27812,1.60424,-0.03042,-0.60036,-0.01379,-0.54804,-0.55434
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.99877,13.53573,-2.8684,1.10033,1.45784,0.93537,0.7021,-0.59998,0.50216,-0.16008,-0.48869,-0.07047
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.8559,13.41042,-2.76853,0.53706,0.28296,0.51308,1.57372,-0.48148,0.23064,-0.07034,-0.27187,-0.45202
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.84024,13.08514,-2.24621,1.22694,0.01468,0.23445,0.40236,0.06654,-0.1634,-0.37135,0.5229,-0.4222
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.17033,14.05421,-1.99276,1.402,0.81242,0.91001,0.54301,-0.56152,-0.12232,0.45419,0.8675,-0.29955
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,12.69735,14.12336,-3.44935,0.86855,0.28129,0.07644,0.0024,-0.00259,0.50157,-0.40921,0.6538,0.13191
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.4054,14.27324,-3.36585,1.4987,0.7063,0.20923,0.3002,0.37175,-0.7823,-0.49525,-0.94411,0.791
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.26938,13.42999,-2.54309,0.52017,1.45335,0.9527,0.88158,-0.76895,-0.64639,-0.41165,0.40784,-0.37896
0.02234,0.1204,0.791239,0.9424,0.037,1.8987,-0.874,-0.455,13.75449,14.12811,-0.04939,1.05313,1.39939,0.47831,0.86923,-0.50106,-0.18981,0.22804,0.24596,0.34749
