omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.16464,13.79007,-1.50466,0.60039,0.22495,0.37623,1.69298,0.21735,-0.03597,-0.9952,0.35867,-0.39121
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.32166,14.98932,-1.18637,0.50666,0.20738,0.33914,1.68338,-0.76294,0.86737,-0.63735,-0.75222,0.00081
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.79548,13.59967,0.71778,0.69112,0.99512,0.54211,0.62717,0.54198,0.77779,-0.34097,-0.58153,-0.58074
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.06117,13.66363,-1.79698,0.87511,1.02938,0.26505,0.57394,0.61195,-0.46366,0.48956,0.57554,-0.95086
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.12574,14.39245,-1.26393,1.41744,0.67277,0.11073,0.09902,0.27784,0.54431,-0.31456,0.26891,-0.91848
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.02974,13.80938,-2.90903,0.81444,0.33728,0.58548,0.32671,0.94972,0.97239,0.77008,0.79512,-0.72728
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.81077,14.14219,-1.61322,1.49241,0.99043,0.24906,0.59215,-0.71528,0.61125,0.46164,0.54084,0.94121
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.44845,13.15378,-1.69415,1.4332,0.50264,0.50105,1.0386,0.61522,-0.96056,0.14106,-0.10794,-0.00334
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.29388,13.63171,-2.16649,0.96618,1.24636,0.03801,0.63499,-0.71354,-0.17409,0.34984,0.9517,0.01047
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.03843,13.6951,-2.95164,1.44153,0.89401,0.05547,0.35768,0.23676,0.55058,-0.84917,-0.48761,-0.89131
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.9614,14.02959,-1.99584,1.08088,0.18217,0.61186,1.15981,-0.15393,0.08501,-0.22929,0.88675,-0.22962
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.43464,14.41026,-2.19418,0.63057,1.19495,0.71354,1.17195,0.66064,0.32126,0.9374,0.57686,0.14037
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.17767,14.28053,-2.76973,0.84903,1.09574,0.29089,1.69974,-0.90141,-0.98784,0.4114,-0.99913,0.09932
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.46233,14.22583,-1.05806,0.97643,0.17464,0.62238,1.79198,0.34385,0.42298,-0.4058,-0.81628,0.25785
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.55835,13.63348,-2.07752,0.88222,0.48531,0.05465,1.7479,0.27293,-0.86377,-0.60572,0.01651,0.5243
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.21609,13.76365,-0.13131,0.63597,1.26892,0.04382,0.93928,0.67495,-0.58854,-0.88687,0.85498,0.94339
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.07393,14.7078,-3.32195,0.9358,0.40832,0.396,0.42581,0.85498,-0.77675,0.70556,-0.57454,-0.82034
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.89576,13.65692,0.56717,0.58541,0.55899,0.17293,0.45305,0.38475,-0.07191,0.08652,0.0402,-0.37339
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.05436,14.27001,-0.2286,0.50063,1.31874,0.02329,0.99514,-0.4164,0.71912,-0.58401,-0.12382,0.76854
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.70138,13.15108,0.92596,1.31558,1.31082,0.19955,1.64194,0.84117,0.34558,-0.71621,0.78709,-0.17615
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.47116,13.68445,-2.1135,0.66261,0.99577,0.72727,0.17834,-0.6921,-0.68513,-0.11291,-0.56402,0.75175
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.92477,13.33663,-0.22081,0.96751,1.19617,0.7297,1.85057,-0.80164,-0.30889,0.11912,-0.83184,-0.49919
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.9494,14.57506,-0.53759,0.58003,1.35551,0.08625,1.31929,-0.69637,-0.24591,0.58936,-0.36413,0.60918
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.06434,14.55984,-1.2874,0.55456,0.79184,0.79132,1.43104,0.56879,0.91465,-0.79065,-0.41228,0.60322
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.713,13.35668,-2.43419,0.55399,0.33439,0.53654,0.3895,0.45216,0.84746,0.46991,0.22484,0.99365
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.70563,14.65622,-3.03019,0.84926,0.13386,0.72762,0.26503,0.53189,0.69623,0.43098,0.11749,0.3141
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.36862,14.69838,-1.73964,0.90636,1.12489,0.48848,0.25709,-0.66112,0.91496,0.58202,0.83875,0.54975
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.56946,14.28798,0.90585,1.15807,0.45856,0.54303,0.16234,-0.12109,-0.30838,-0.76408,-0.00819,0.9015
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.60587,13.6665,-1.84927,1.27845,0.47031,0.94662,1.7502,0.75227,0.42263,-0.9225,0.2837,0.5305
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.28751,14.60565,-2.24685,0.94234,0.28449,0.50318,0.14028,-0.90217,-0.29883,0.52609,-0.84012,-0.16879
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.64358,13.17587,-2.60524,0.67077,0.02266,0.3696,0.53557,-0.77251,0.24139,0.17605,0.89501,-0.96953
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.16093,13.4201,-0.96503,1.18814,1.3856,0.10863,1.07986,0.6392,0.38838,-0.53995,0.25321,0.569
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.94567,13.82964,-1.91061,1.22276,0.72493,0.92205,1.21537,0.90037,0.44403,-0.99023,-0.5836,-0.8078
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.11795,13.95025,-0.23157,1.34238,1.22091,0.46267,1.89161,0.26669,0.21228,-0.19499,-0.44543,-0.83568
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.04225,14.21217,-1.42102,1.05879,0.17049,0.14127,0.01656,0.12453,-0.23847,-0.39773,-0.78251,-0.11204
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.33985,14.01071,-2.5369,0.87502,0.6152,0.70886,1.42601,-0.69856,0.94767,-0.31315,0.10487,-0.87625
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.18328,14.28811,-2.39276,0.62752,0.31173,0.85819,1.77215,0.61455,-0.96446,-0.54413,-0.83314,-0.89803
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.1768,14.79729,-2.62993,0.69797,0.42228,0.22187,0.29034,0.95345,0.80448,0.00767,-0.34973,0.11373
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.83333,13.27222,-0.95282,1.1703,0.02751,0.70365,1.19015,0.83591,0.72055,0.91783,0.71037,0.36962
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.20489,13.77488,0.11098,1.02188,0.67546,0.37072,1.6191,-0.00485,0.64644,0.35896,0.22124,0.57415
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.04988,13.44163,0.21236,1.318,0.24783,0.37024,1.3056,0.75618,-0.30647,0.77895,-0.95536,0.46464
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.21498,14.90312,-3.18318,1.15985,0.04785,0.561,1.92731,0.71187,-0.94959,-0.48489,-0.69813,0.93809
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.80604,14.78221,-1.79156,1.01336,1.21235,0.08697,0.07379,-0.59585,0.54686,-0.9071,-0.5892,0.55129
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.64464,14.65485,0.8017,0.57908,1.38922,0.05195,0.18817,-0.38708,-0.08986,0.91071,0.63425,0.94808
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.30943,14.08607,-2.62733,1.04019,1.14791,0.10161,1.40434,-0.11017,0.59135,-0.32842,-0.85098,0.48763
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.43346,14.28661,-3.19364,1.36607,0.82173,0.59263,1.33878,0.2547,0.10516,-0.61873,-0.16395,-0.43123
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.01798,14.41327,-1.18201,1.46737,0.96972,0.28876,0.57983,-0.77928,0.06746,-0.16295,0.56914,-0.13607
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.71086,14.46302,-2.79768,0.67199,0.51283,0.03025,0.00206,0.10287,-0.65989,-0.77268,-0.48637,0.54212
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.13489,14.30931,-2.90253,0.73374,1.00892,0.11818,1.67272,-0.61831,-0.02519,-0.28124,-0.11441,-0.74757
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.30165,14.24128,-0.6893,1.05868,0.54982,0.71529,1.87347,0.9523,-0.07528,0.51947,-0.85866,0.97851
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.76761,14.2273,-0.31307,1.3703,1.22529,0.84943,1.60882,0.33321,-0.27677,0.73302,0.38636,-0.35005
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.80097,14.96972,0.65943,0.82309,1.16791,0.21784,0.17575,-0.73367,-0.3387,-0.09674,-0.67,0.32656
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.89257,14.84893,-0.3963,0.85907,1.38875,0.56393,0.46207,-0.70832,-0.46875,-0.79926,-0.65277,-0.67698
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,13.22025,14.74356,-0.07209,1.10178,0.84409,0.72537,1.04814,-0.92426,0.06044,-0.95956,-0.137,0.6092
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.90493,13.46593,0.71134,1.26506,0.72104,0.66506,1.66021,-0.86209,-0.87619,-0.08188,0.83527,-0.10342
0.02306,0.1151,0.837463,0.9691,0.038,1.9089,-1.0,0.0,12.1571,13.88188,-2.9129,1.41516,0.50297,0.60664,0.83211,-0.06077,-0.47016,-0.56241,-0.18559,-0.76557
