# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.94410,13.98392,-0.66400,1.43021,0.48652,0.14476,1.20667,0.57087,0.01370,0.27190,-0.41704,0.48424
12.52900,14.90903,-2.10341,1.24632,0.14552,0.33054,0.96923,-0.37691,0.32213,0.32831,-0.30143,-0.49304
12.61391,14.52487,-0.61334,1.10283,0.27064,0.47138,1.32748,-0.53776,-0.09646,-0.46708,0.10746,0.46287
13.45606,14.57700,-2.05762,0.94621,0.51374,0.47915,0.61208,0.59448,-0.66311,0.03350,-0.41224,-0.50003
12.54559,13.74153,0.37597,0.60693,0.94938,0.18163,0.88755,0.72020,-0.96659,0.25516,0.08440,-0.38321
13.30561,14.82748,-2.00120,0.77329,0.92310,0.17883,0.74476,0.12647,-0.73470,-0.91435,-0.17320,-0.21955
12.81350,14.09214,0.49972,0.75089,0.15075,0.15864,0.92918,0.57167,0.51336,-0.54433,0.02958,0.81849
13.08643,15.08023,-0.21905,0.52999,0.76390,0.59002,1.47438,-0.53545,0.67285,0.73017,-0.28373,-0.02427
13.66659,14.43864,-1.81490,0.88449,0.96641,0.30093,1.14854,-0.94131,-0.82064,0.88859,-0.66173,-0.94785
12.72863,14.33887,0.85909,1.07113,0.40568,0.52973,1.48099,0.33233,0.44732,0.94729,0.11898,-0.46178
12.97192,14.58218,0.01122,1.06511,0.15227,0.27065,1.41575,0.78147,-0.05175,-0.71993,-0.28873,-0.31222
13.02025,14.44925,-1.04777,1.37565,0.59217,0.09574,1.17006,-0.79954,0.13717,0.46916,-0.45689,-0.08045
12.67619,14.04408,-2.53689,0.45971,0.06201,0.44248,0.84219,-0.00842,-0.92719,-0.13140,-0.29902,0.47331
13.09555,13.98477,-1.23273,1.15973,0.22102,0.09167,1.08906,0.80609,-0.35000,-0.22817,-0.28644,0.47512
13.68919,14.93996,0.44386,0.66011,0.14704,0.30714,1.20338,-0.18261,0.24247,0.32738,-0.38967,-0.26807
13.35743,14.47425,0.34577,0.95297,0.01907,0.50982,0.67182,-0.42000,-0.71664,0.13224,0.19248,-0.63269
13.06865,14.74561,-2.15545,1.19135,0.03495,0.56924,1.27803,0.33902,-0.94130,-0.83047,-0.50670,-0.14514
13.36164,13.61317,0.61093,0.30918,0.34497,0.15552,1.03932,-0.11267,0.54682,0.77919,-0.35383,0.90759
13.02253,13.76777,-1.76209,1.10286,0.74671,0.51248,1.44866,0.94613,0.63947,-0.71726,-0.00301,0.13246
12.85971,14.57837,-0.13605,0.63595,0.46887,0.18866,1.35416,0.23559,-0.16275,0.90667,-0.13071,0.03445
13.45115,14.41270,-0.72955,0.93046,0.55321,0.13164,0.81858,-0.12646,-0.25886,-0.92471,0.06078,-0.24695
12.51820,14.66622,-1.80843,0.92404,0.69889,0.02925,0.80496,0.77240,-0.78826,0.96119,-0.63929,-0.63460
13.43381,14.94109,0.03980,1.12085,0.91150,0.41270,0.82864,0.45267,0.27829,0.78580,-0.45422,-0.06487
13.57814,14.83786,-1.96751,0.62106,0.17760,0.09943,0.64056,-0.09446,0.61600,0.17055,-0.53974,-0.87233
12.71932,14.24998,-0.92860,0.98690,0.40153,0.07371,0.87887,-0.09764,-0.56537,0.40891,0.05483,-0.36564
13.07062,13.94539,-0.73038,1.44418,0.92176,0.48117,1.35643,0.21930,0.36831,-0.93075,-0.34598,-0.21143
12.87999,14.54046,-0.96921,0.33934,0.18415,0.39012,1.20768,-0.66677,0.23092,0.23711,-0.24000,-0.17183
13.47481,14.81316,0.27084,0.60190,0.40701,0.17336,1.20236,0.93843,-0.97704,0.92128,-0.53525,0.63220
13.47210,14.50595,0.01594,0.78657,0.68411,0.16764,1.45835,0.30107,-0.26574,0.13928,-0.35187,-0.37928
13.22946,13.93174,-0.19425,1.04206,0.17472,0.54996,1.08862,-0.34694,0.40702,0.65235,-0.30572,0.74795
12.50735,13.89438,-2.28074,0.74023,0.29767,0.49777,0.93109,-0.73693,0.54275,0.57990,-0.09958,0.63633
13.05823,14.03218,-1.16803,1.03117,0.36653,0.57482,1.14851,-0.40202,0.87496,-0.55885,-0.23163,0.93231
12.62746,14.63440,-1.01615,1.14929,0.40893,0.46966,0.83236,-0.95470,0.89506,0.03866,0.14014,-0.70443
13.27527,13.96956,-0.85342,0.51997,0.19454,0.26232,0.91306,0.03859,-0.62451,0.82393,-0.50336,0.37363
12.74474,14.58123,0.76284,1.23324,0.89204,0.30191,1.19888,-0.48785,-0.38804,0.63437,-0.27081,-0.12017
13.10261,13.86942,-0.40421,0.78373,0.30673,0.03602,1.07072,0.91092,0.54855,0.85777,-0.57398,-0.35870
12.65297,13.65378,-0.83180,1.27461,0.98455,0.37626,0.91640,0.08861,-0.94468,-0.69664,-0.33828,-0.38425
13.48580,14.97776,-2.42175,1.37277,0.69843,0.58046,1.20861,0.95791,-0.69543,0.48234,-0.49321,-0.65446
13.20556,14.80292,0.63377,1.42303,0.84470,0.23115,0.84280,0.21716,0.45717,-0.18581,-0.52987,0.86684
13.57614,14.95326,0.02481,1.27849,0.58313,0.34687,1.34874,-0.42875,-0.76213,0.74409,-0.49201,-0.79775
13.14570,14.33846,-1.79918,1.30943,0.63532,0.58977,0.89599,-0.00115,0.59748,-0.44992,0.05344,-0.60275
13.46957,14.45216,0.12383,0.74637,0.10607,0.20692,0.88933,-0.47601,-0.78903,-0.45760,0.11969,-0.83937
13.08507,14.70881,-0.75223,0.49448,0.26879,0.24580,1.36586,-0.61874,-0.81611,-0.72764,-0.63861,-0.71183
12.99439,14.17973,0.61830,0.62764,0.54854,0.36466,1.12499,-0.83937,-0.05163,0.79023,-0.31449,-0.07504
12.99721,14.12485,-2.40057,0.85258,0.64179,0.06465,0.84600,0.49529,0.31510,0.49744,-0.57124,0.49846
13.40149,13.73375,-2.52342,0.90101,0.81632,0.49440,0.59426,0.45359,0.03382,-0.96332,0.03169,0.91618
13.10170,14.89554,-0.99687,1.38418,0.18156,0.26120,1.12900,0.48886,-0.15800,-0.16371,-0.37612,-0.24793
13.33660,14.14604,-1.42671,0.73252,0.34347,0.45727,0.89002,0.48507,0.04136,-0.20309,-0.33975,-0.92860
13.13927,14.83588,-0.76536,0.88056,0.00680,0.27285,0.86507,-0.71952,-0.37184,0.22438,-0.25769,-0.93312
13.29262,14.33771,-1.70702,0.97152,0.96595,0.27298,1.05358,0.72273,-0.89798,-0.42697,-0.53187,0.40090
12.67151,14.38117,-1.66673,0.89241,0.09833,0.35425,0.72260,-0.27144,-0.63497,0.16409,-0.50204,0.09783
13.08060,14.31262,-2.66811,1.23261,0.56725,0.50464,0.89225,-0.60084,0.47692,-0.51931,-0.32800,0.54347
13.36344,14.57529,-1.75153,0.90211,0.37741,0.13430,1.07052,-0.63136,0.55309,-0.98366,-0.22237,0.51340
13.69450,14.98256,-0.66690,0.81465,0.74100,0.17245,0.79213,-0.28610,0.83668,-0.80874,-0.06388,-0.21674
12.70969,14.38370,-1.72641,0.78777,0.79101,0.14628,1.26206,0.42193,-0.19989,-0.92255,-0.25468,0.73010
13.08971,14.00153,-1.49667,0.31274,0.06357,0.10851,1.33027,-0.57994,0.60442,0.52859,-0.18852,-0.38442
12.77218,14.64452,-1.77930,1.46838,0.78950,0.14579,1.09150,0.45035,0.39310,-0.53044,-0.46961,0.08022
13.07555,14.55072,0.18401,0.30895,0.25790,0.60774,0.75073,0.22375,-0.43176,0.02508,0.18199,-0.89472
13.31176,14.96345,-2.19276,0.37737,0.47769,0.14242,1.47252,-0.47581,0.03346,-0.74132,-0.38183,-0.34218
12.77203,13.84828,-2.35755,1.05759,0.10254,0.43578,0.63273,-0.56926,0.36804,-0.13475,-0.26902,0.68510
13.09754,14.60499,-2.58732,0.78571,0.73256,0.13158,1.37985,-0.12930,0.62548,-0.23087,-0.01062,-0.43830
12.65189,14.38555,-1.77672,0.63165,0.75513,0.33336,1.14679,-0.93137,0.23770,-0.05972,-0.22367,0.92026
