# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.17080,14.02028,-1.75334,0.31036,0.57332,0.53044,1.15263,-0.56006,-0.55621,0.49691,-0.58370,-0.09490
13.00199,13.73017,-0.28615,0.84932,0.46206,0.60737,1.05395,-0.16911,-0.87913,0.05638,-0.02332,0.39512
13.41296,13.63616,-0.53673,1.20360,0.33929,0.23337,0.67942,-0.31855,0.48250,-0.85375,0.13056,-0.71712
12.82386,14.01471,-2.20598,0.95436,0.00811,0.43428,0.62044,0.25070,0.61615,0.01053,-0.29362,-0.90822
13.60578,13.90081,-2.10546,1.43449,0.30815,0.34967,0.66577,-0.54164,-0.54175,0.17920,-0.18279,0.13320
13.21195,14.53459,-2.53261,0.48164,0.10289,0.01413,0.94727,-0.32642,0.48568,-0.77007,-0.30513,-0.47221
13.60935,13.70709,-0.74253,0.94474,0.55182,0.26814,1.22299,0.52390,-0.60039,-0.20902,-0.62449,-0.43941
12.97908,14.68565,-0.29338,1.21747,0.07562,0.29766,1.05195,0.92395,-0.90307,0.86912,0.08119,-0.41521
13.27694,13.62199,0.35370,0.95756,0.11858,0.17792,1.42005,-0.56561,0.72200,-0.69404,-0.50084,-0.76595
13.01629,14.95395,0.80356,0.78742,0.97071,0.35362,1.26082,0.52457,0.06052,-0.45627,-0.51245,0.71628
12.84134,14.75358,-0.48364,0.89361,0.63524,0.18860,1.38853,0.89091,0.88700,-0.28753,0.19233,0.07667
13.33610,15.08985,-0.67223,0.72816,0.46003,0.53092,1.23314,0.29382,-0.74611,0.78057,-0.45468,0.42020
13.15537,14.65106,-2.37017,1.47569,0.86036,0.09213,0.71988,-0.40145,-0.97305,-0.79166,0.15381,-0.46256
13.08514,13.99600,-0.58809,0.49284,0.45917,0.16662,1.30584,0.04031,-0.90830,-0.52803,0.16759,-0.06784
12.97820,14.14026,0.49365,1.28212,0.76441,0.60160,0.89651,0.18745,-0.86610,-0.92263,-0.07963,0.47989
13.32200,13.75837,-1.69640,0.87480,0.65116,0.35825,1.09631,-0.00983,-0.07213,-0.20251,0.17477,-0.12952
12.86874,14.97064,-2.53784,0.63869,0.02269,0.00355,1.14640,0.95888,0.35971,0.57474,-0.62984,0.29424
12.51359,13.95968,0.61000,1.23812,0.68312,0.60847,1.18098,-0.81006,-0.00477,0.57258,-0.20586,0.36751
13.50269,14.25974,-1.61855,0.85912,0.13524,0.59631,0.67086,-0.85840,0.34091,0.78036,-0.03504,-0.10341
12.67380,14.20634,-1.33366,1.39521,0.02668,0.56870,1.09221,-0.83696,-0.94150,0.29143,-0.34215,-0.84184
