# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.60975,14.16416,-1.97454,1.44379,0.44287,0.52518,0.65659,0.16190,0.45321,-0.26253,0.00690,-0.40244
12.86363,14.77533,-0.65508,0.42647,0.21398,0.10670,1.23782,0.87269,0.24589,0.65087,0.13567,0.37051
13.19664,14.84707,-0.59718,0.80563,0.53449,0.32874,1.30186,0.35263,-0.03088,-0.25320,0.16530,-0.25225
12.74801,14.84339,-0.93757,1.32041,0.09666,0.27449,1.44106,-0.59527,0.16196,-0.60148,0.11053,-0.66396
13.53811,14.63082,0.11600,0.77958,0.71616,0.22863,1.47144,0.37891,0.22574,-0.65750,0.03859,0.06915
12.50396,14.42520,-1.98157,1.36596,0.78937,0.37586,0.61686,-0.12632,-0.29981,0.31106,0.03536,-0.30129
13.50853,14.72942,-1.20019,0.42059,0.00753,0.28878,0.61307,-0.19646,-0.01498,0.58020,0.07901,-0.28583
13.10755,14.62532,-1.46274,1.44282,0.01947,0.24167,1.20136,-0.34389,0.89255,-0.72212,-0.50091,0.72760
13.61981,14.86915,-2.95394,1.23125,0.77388,0.52180,1.31269,-0.00198,-0.44347,-0.35595,0.17198,0.80682
13.14031,14.78457,-2.38535,0.33951,0.29103,0.45300,1.22653,-0.00904,0.89164,-0.64618,-0.60615,0.00584
13.40930,14.45769,-2.13690,0.59564,0.10961,0.12780,1.09688,0.30503,0.71987,-0.36709,-0.06088,-0.55901
12.85332,14.69496,-0.49262,0.88395,0.98598,0.33764,1.16455,-0.48780,0.39389,0.64603,-0.51722,0.08183
12.97563,13.80310,-0.11323,1.09572,0.14305,0.20446,1.24912,-0.29540,-0.24995,0.60202,-0.13171,-0.04053
12.73374,14.13809,-2.89370,1.24022,0.26564,0.06862,1.16077,0.65067,0.73914,-0.08444,-0.43192,0.74102
12.82031,14.25520,-0.94453,0.45347,0.75271,0.43362,1.16278,0.66993,-0.54947,-0.72610,-0.05991,-0.31957
13.14693,13.75057,-2.53796,0.52334,0.59445,0.03048,0.68209,0.50219,0.53227,-0.10760,-0.18302,0.22466
12.93818,14.67430,0.69222,0.71534,0.87109,0.11984,0.99336,0.86661,-0.19665,0.78470,-0.13958,0.92770
13.39865,14.50514,0.44099,0.82624,0.31942,0.41822,1.07273,-0.11134,-0.32513,0.97324,-0.52731,0.08798
12.77367,14.11744,0.83488,0.86576,0.40523,0.50401,1.16871,-0.12464,-0.90053,0.22565,-0.25369,-0.92001
13.61245,13.93263,-2.02614,1.25913,0.35459,0.53684,0.80297,0.20558,-0.34454,0.32985,-0.40408,0.37569
12.81169,15.07851,-1.48707,1.47967,0.85878,0.39001,1.03504,0.69319,0.82072,-0.97793,-0.02732,0.17891
12.61503,14.55723,-2.24355,0.90331,0.94946,0.27623,0.68626,-0.11247,0.76778,0.84709,0.13923,0.01946
12.68493,14.59730,-2.23615,1.18658,0.01399,0.21707,0.85742,-0.22266,0.31662,-0.76456,-0.02466,-0.86211
12.84966,14.79282,-0.52853,0.70557,0.46879,0.53966,0.84277,0.99617,-0.50894,0.86520,-0.62181,0.15785
13.25604,14.29612,-0.24117,0.81329,0.96607,0.45095,1.09359,0.25720,-0.88621,0.45266,0.13758,-0.42447
