# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.54001,14.27828,0.66432,0.61005,0.52396,0.55381,1.28664,-0.75029,0.21086,-0.78413,-0.23547,-0.35819
13.05918,14.00331,-2.92936,0.67233,0.39409,0.47551,1.13168,-0.07511,-0.83234,0.47290,-0.20776,0.44043
12.63432,14.20337,0.67257,0.45374,0.67467,0.33970,1.41438,-0.60266,-0.47871,0.98060,-0.10907,-0.75811
13.65033,13.95901,-0.53642,0.35231,0.55715,0.50282,1.18438,-0.41814,0.83637,0.60331,-0.15245,0.40133
13.11028,14.67590,-0.27611,0.40840,0.58010,0.04557,1.30297,0.95904,0.36273,0.12076,-0.50674,0.42176
12.90364,14.82914,-2.97267,1.08870,0.48627,0.38824,1.22303,-0.79270,-0.16428,-0.43003,-0.30920,0.07430
12.97148,14.77773,-0.69213,0.73679,0.54148,0.19957,1.24402,0.79810,0.18065,0.58944,0.15313,-0.45957
12.60444,14.08271,-1.29925,0.82967,0.09120,0.56353,1.10938,-0.18731,-0.67223,0.08093,-0.63592,-0.32212
12.59101,13.87497,0.09740,1.18445,0.54533,0.17771,1.42290,-0.52028,0.81480,0.69206,-0.40487,-0.03233
13.33240,14.92815,-1.26688,0.75922,0.30171,0.41375,0.75038,-0.07208,-0.03890,-0.33953,-0.21800,0.72685
13.04657,14.81283,-1.24746,1.00814,0.44276,0.00963,0.94883,0.44899,0.27996,0.44209,-0.65394,-0.93242
12.72729,15.03495,-1.47880,1.44112,0.33002,0.24026,1.28459,-0.70932,-0.29344,0.66505,-0.48901,0.14687
12.87271,13.77297,-1.34590,0.32405,0.29876,0.23010,1.00472,0.46508,0.12181,0.91594,-0.63231,-0.82671
13.32473,13.98396,0.89005,0.71001,0.40437,0.52806,0.82534,0.22260,0.76360,0.57700,0.08492,-0.21704
13.09325,14.47445,-0.94202,0.52810,0.58917,0.17001,1.04590,-0.53183,-0.07439,-0.47617,-0.26251,0.51965
13.15379,14.99624,-1.14529,0.81650,0.66985,0.48822,1.10942,-0.04332,0.65728,0.03866,0.01213,-0.50100
12.91433,14.80899,-1.32823,0.75842,0.80796,0.43080,1.46570,0.50657,0.46710,-0.45888,-0.06337,0.48266
13.17517,14.21915,0.85063,0.47663,0.41949,0.51142,1.43075,-0.39485,0.45106,-0.70856,0.09858,-0.92454
13.50498,14.57302,-1.76379,0.83024,0.37426,0.54179,1.37532,-0.81261,-0.52428,0.27926,0.06860,0.70752
13.13787,14.92862,-2.32599,1.41830,0.61848,0.19856,1.38490,0.01018,-0.23909,0.01444,-0.59541,-0.14705
12.62970,13.76926,-1.63772,0.46465,0.35155,0.26001,0.73993,-0.07002,-0.29787,-0.69261,-0.19878,0.06419
13.01855,13.78476,-0.89473,0.97407,0.33522,0.37523,1.14895,-0.29907,-0.23304,0.32560,-0.19221,0.93937
13.19929,13.69030,-1.33035,0.80936,0.87086,0.50615,1.34748,-0.52019,-0.83131,0.32173,-0.17064,-0.95296
13.61560,14.62160,-1.38268,0.86423,0.88551,0.45758,1.12585,-0.74184,-0.23105,-0.51958,-0.64449,-0.82794
12.60523,14.47981,-0.83741,1.18618,0.29399,0.50110,0.93708,-0.76942,-0.95852,0.07906,-0.46735,-0.54380
13.30842,13.97351,-1.76726,0.48127,0.69819,0.37542,0.67123,-0.12040,0.69113,0.32591,-0.31249,0.79226
13.01712,14.98115,-1.46024,1.35340,0.14539,0.30689,1.37728,0.05597,-0.11902,-0.68348,-0.59642,0.03880
12.50510,14.16313,-1.30065,1.25292,0.43350,0.08977,0.80034,-0.62723,-0.24289,0.27512,-0.50638,-0.92607
13.40966,13.66981,-1.46399,1.39861,0.73603,0.00137,0.62656,-0.55238,-0.76639,-0.64356,-0.49690,0.34131
12.79194,14.43420,-1.16064,1.03748,0.47399,0.45724,1.45621,0.45758,-0.46641,-0.70195,0.10613,0.34573
13.02920,14.07610,0.15840,0.45575,0.23901,0.40501,1.03082,-0.10019,0.31678,0.46849,-0.66621,0.43546
13.11922,15.00639,0.66924,0.64426,0.07068,0.18871,0.80493,0.67793,-0.94115,-0.74889,-0.07412,0.01599
