# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.18610,14.22909,-1.63636,0.74059,0.31270,0.41833,0.82603,0.66801,-0.65211,-0.44709,-0.41790,-0.36045
13.66724,14.44137,-2.27930,0.99338,0.76157,0.26221,0.80346,-0.96897,0.08909,0.81421,-0.11625,0.89906
13.66540,14.49475,0.35597,1.24788,0.40660,0.44117,1.35802,0.49397,0.05598,0.10385,-0.61320,0.74085
13.67534,15.06107,-0.67378,0.48073,0.74999,0.12518,0.85023,-0.46059,0.05636,0.92058,-0.11951,-0.83922
13.66891,14.11590,0.36590,0.61695,0.33981,0.03727,1.41242,0.55413,-0.71334,-0.89862,0.04779,0.61785
12.77069,14.97470,-1.48365,0.33982,0.96553,0.57464,1.02988,-0.48065,0.43231,0.20633,0.16007,-0.58630
13.04492,13.72153,0.76043,0.32199,0.30873,0.00789,0.93187,0.44094,0.83539,-0.23614,-0.21711,-0.19210
12.87365,14.33887,-2.52574,1.19165,0.44816,0.34600,1.12508,0.68662,0.04779,-0.08479,0.10310,-0.45395
13.34499,13.67283,-0.69182,1.08774,0.00799,0.55694,1.30407,-0.81126,-0.28369,0.55700,0.14040,0.02755
13.08424,14.89160,-1.95884,0.88175,0.98764,0.27380,1.40082,-0.46220,-0.18507,0.54897,-0.09623,-0.95657
12.66227,13.74009,0.90369,0.81273,0.49510,0.56394,1.39332,-0.48814,-0.69387,-0.72859,-0.50069,-0.92406
12.60996,14.24300,0.64149,1.35216,0.13963,0.18779,0.97003,0.30007,0.46488,0.98024,-0.55739,-0.73996
13.32069,15.09151,-0.41788,0.60837,0.41916,0.23273,1.00320,0.82709,-0.63119,-0.93960,-0.00565,0.20812
13.53700,14.86631,-2.90687,1.01219,0.01404,0.02910,1.00063,0.26915,0.50058,-0.99595,-0.06046,-0.65116
12.65153,15.07082,0.85243,0.98555,0.18029,0.22242,1.11554,-0.34918,0.25465,0.04711,-0.15760,0.71785
13.37241,14.41669,-2.76039,0.72482,0.51280,0.39012,0.85614,-0.09705,0.83808,0.58331,-0.63974,0.13253
12.65542,13.70197,-1.69480,1.22977,0.69711,0.04150,1.40425,0.68806,0.83370,-0.74066,-0.51773,-0.00070
13.32961,14.96359,-0.37171,1.08469,0.79037,0.28356,1.36050,0.98494,0.37147,-0.12587,-0.56277,0.75850
12.50066,13.60830,-1.44226,0.90952,0.36051,0.01800,0.72298,-0.93140,-0.12713,-0.90267,0.00237,-0.77452
13.37525,14.00791,-0.98675,0.45848,0.86397,0.39321,1.17989,-0.26732,-0.56191,-0.78074,-0.06194,0.30801
