# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.92095,14.38081,-2.84857,1.10744,0.95167,0.29653,1.39078,0.30382,0.72117,0.01340,0.12813,0.90876
12.94624,13.74770,0.38817,1.28003,0.75609,0.29147,1.13903,-0.28832,-0.15680,0.22132,-0.06751,-0.91484
13.31643,14.28446,0.27440,0.36232,0.32024,0.45907,0.80385,-0.96223,-0.06121,0.47927,-0.22495,-0.75806
13.54068,14.62150,-2.27068,1.17292,0.22195,0.48428,1.35659,-0.75133,-0.34702,-0.47845,-0.56622,0.62763
12.95220,15.03455,0.70066,0.56952,0.85215,0.16876,1.28371,0.02626,-0.46853,-0.72320,0.12214,0.53640
13.54045,14.48065,-2.43764,0.87037,0.73394,0.32927,0.62089,-0.49725,-0.35254,0.08245,-0.29164,-0.28513
13.18590,14.51044,-1.43257,0.54047,0.45832,0.56867,0.66888,-0.46639,-0.03738,-0.69005,-0.26502,0.94528
12.83736,14.52117,-1.80713,1.23532,0.62282,0.26779,0.96023,0.84382,0.36378,0.58395,-0.65437,0.88230
13.15102,14.67243,-2.14449,0.95245,0.15027,0.19610,0.63556,-0.79080,0.47180,0.05341,-0.15318,0.31707
13.58379,14.28693,-2.06678,0.42145,0.12449,0.18943,1.28125,0.09828,-0.34601,0.85288,-0.34008,-0.75768
13.43049,14.14666,0.49832,0.86455,0.85194,0.42428,1.27624,0.17721,-0.60480,0.28118,-0.15036,0.61871
13.54352,13.96197,-0.46867,0.70560,0.16368,0.01171,0.90581,0.54648,-0.39606,-0.78087,0.06339,0.35770
13.02020,14.93641,-2.10379,1.04190,0.00263,0.13979,0.58805,-0.97182,0.35548,-0.59651,-0.22822,0.53873
13.05213,14.62572,0.70187,1.15962,0.40747,0.16713,0.59604,-0.81603,-0.87350,0.67573,-0.02883,0.49835
12.86848,14.68546,-1.76439,0.65654,0.57572,0.34568,1.26894,0.89365,-0.95723,0.30438,0.12093,0.44963
12.75736,14.27245,-2.18285,1.42302,0.47809,0.25331,1.18860,0.24417,-0.96040,0.98905,-0.07383,-0.25680
13.32081,14.55491,0.65021,1.01894,0.76698,0.22961,1.41827,0.84350,-0.73532,0.18282,0.07260,0.78459
12.76860,14.00639,-0.27896,1.44131,0.03959,0.19852,1.24455,-0.22439,0.92815,-0.94469,0.14768,0.48440
13.59270,14.62459,-2.00680,0.66076,0.16280,0.41731,1.43476,-0.88981,0.59078,0.82556,-0.22246,0.64976
12.71275,14.22752,-0.39842,0.79329,0.59251,0.55580,0.88863,-0.73565,-0.76658,-0.22678,0.00734,-0.53396
13.39747,13.67986,-0.01283,1.39176,0.90724,0.51305,1.17366,0.17550,0.90768,-0.71055,0.10271,0.49688
12.60402,14.41352,-1.32607,1.43712,0.89822,0.36527,1.48683,-0.56612,-0.59666,0.38951,-0.20427,0.35472
13.14634,13.82399,-1.88321,1.01019,0.49589,0.42169,1.21608,-0.31340,-0.55060,-0.73494,-0.64217,-0.33726
13.68103,14.32054,0.52207,0.74845,0.05550,0.49127,0.66252,0.06850,-0.24812,-0.01198,-0.08994,-0.16582
12.78857,15.06093,0.25517,0.51093,0.75626,0.08824,0.94190,-0.16712,-0.86239,0.45968,-0.09633,0.53044
13.31957,13.79722,-2.93372,0.63887,0.66305,0.04169,0.76046,0.38093,0.26623,0.35004,-0.05713,-0.05721
13.09713,14.19489,-0.70726,0.82067,0.31060,0.11953,1.37082,-0.01806,-0.11526,-0.02375,-0.14443,0.10725
12.94604,13.90908,0.61553,0.82185,0.28434,0.36611,0.79878,0.08649,-0.85180,-0.99269,-0.40869,-0.17074
12.72353,14.52441,-0.59786,1.35052,0.49509,0.26202,1.46552,0.28827,0.47495,-0.59159,-0.19823,-0.57770
13.32622,14.58296,-1.92767,1.38582,0.32857,0.28527,0.64313,-0.26594,-0.12138,0.74588,-0.18234,-0.65136
