# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.89087,13.75246,0.27088,0.85961,0.61219,0.21794,0.94899,0.75507,-0.29096,-0.47180,-0.56506,0.20325
13.37146,13.79904,-0.10376,0.35378,0.33997,0.19695,0.86900,-0.34192,-0.89014,-0.47736,-0.58337,-0.60531
12.51440,14.73245,-2.00403,0.87460,0.69498,0.35339,0.72520,-0.05514,-0.00512,-0.26966,-0.21528,0.32903
13.40012,14.30494,-2.69928,0.65189,0.13340,0.36655,1.14021,-0.28888,0.53420,-0.70456,-0.42611,-0.57146
13.54535,14.00231,-1.28718,0.84656,0.50208,0.32445,1.37313,0.56097,0.04660,-0.04257,-0.09834,-0.08774
12.54715,14.02918,-1.19069,0.37980,0.92732,0.03248,1.45938,-0.66579,-0.35110,-0.68789,-0.50777,0.59717
13.09391,14.09321,0.36704,0.32787,0.67167,0.58710,0.77680,0.66816,0.72366,-0.42498,-0.00863,-0.77041
12.82774,14.93486,-0.33205,0.43387,0.19230,0.45413,0.88170,-0.06968,0.92180,0.77397,-0.50662,0.52070
12.57870,14.51117,-1.62742,1.04536,0.96800,0.34700,0.79468,0.64804,0.80766,-0.77804,-0.48962,0.91530
12.99267,14.55943,-0.30879,0.92739,0.04822,0.35101,1.00245,0.60771,-0.35776,-0.61918,-0.03888,-0.03158
13.12703,13.89347,-0.90155,1.41896,0.60303,0.41824,0.87975,0.84990,0.70326,0.76816,-0.05422,0.02000
12.75007,14.68747,-1.07630,1.36533,0.16747,0.51406,1.08311,-0.59888,-0.39913,-0.38643,-0.53049,0.05013
12.53213,14.48698,-2.33426,0.57584,0.78044,0.27636,0.89016,-0.37578,0.48701,-0.52199,-0.53619,-0.64893
12.98164,14.62546,-0.89113,0.68453,0.74716,0.27429,1.17550,-0.58633,-0.80615,0.87227,-0.21631,0.84677
12.52147,15.08217,-0.53468,1.21618,0.57213,0.18905,1.44942,0.12037,0.25387,-0.04468,-0.05587,0.95803
13.60636,15.04465,-1.66469,0.78040,0.38901,0.03526,0.83145,-0.05822,0.24729,0.83351,-0.47163,0.08236
13.12555,14.25099,-0.56440,0.68470,0.47933,0.55351,1.45722,0.01579,-0.50439,-0.87250,-0.10116,0.60419
13.35663,14.56476,0.12542,1.08101,0.02076,0.44699,1.45059,0.85786,-0.44302,-0.56299,-0.20197,0.51127
13.12076,14.57449,0.16436,1.02482,0.67326,0.28608,0.81104,-0.71517,-0.27425,-0.88620,-0.45527,-0.33140
13.19020,14.86725,-1.34203,1.40388,0.71936,0.59993,0.99171,0.23367,-0.96065,-0.48768,0.09582,0.82135
13.15308,14.00638,-2.81363,1.29326,0.93244,0.35272,0.67726,-0.15066,0.55350,0.48996,-0.54959,0.25026
13.40580,14.29102,-2.72325,0.57913,0.66639,0.41536,0.89123,-0.48051,-0.82220,-0.23556,-0.43714,0.28678
12.56638,14.23770,0.27207,0.97837,0.00082,0.48618,1.38035,0.15435,-0.20128,-0.13338,-0.19871,0.72261
12.65072,13.60022,-0.78564,1.32463,0.53285,0.19471,1.36889,-0.26312,0.13589,0.08239,-0.55196,-0.61636
12.76942,14.92305,0.20781,0.72766,0.72944,0.24340,0.85230,0.98701,-0.74956,0.80032,-0.18408,-0.11790
13.19967,14.97118,-2.69478,0.96145,0.72425,0.51024,0.98197,-0.33189,-0.39973,0.24268,-0.41045,-0.39196
13.55118,14.01232,-0.57707,1.25613,0.87232,0.09053,0.65356,0.12116,-0.36202,-0.01554,-0.26658,-0.64510
13.43236,13.86480,-0.02591,1.12102,0.85604,0.30790,0.90671,0.66686,-0.50071,-0.82840,0.04097,-0.35458
12.83982,13.77756,-0.63701,0.45762,0.98941,0.41444,0.76649,0.47519,-0.71843,0.34618,0.08593,0.62172
13.30278,14.45973,0.10665,0.97873,0.75205,0.06314,0.82484,0.31152,0.49927,-0.66379,-0.04204,0.76906
13.16274,14.89648,0.93281,0.45797,0.83301,0.28647,0.84993,0.60426,-0.52776,-0.21762,-0.57722,-0.79472
12.96560,14.48371,-0.95156,0.90432,0.57732,0.24083,1.04487,0.94291,0.64012,0.04075,-0.48236,0.07975
13.62778,15.08089,-1.61290,1.33755,0.98526,0.01342,0.94663,-0.13081,-0.32392,-0.04469,-0.00553,0.31166
12.86217,14.56335,-1.71635,1.12589,0.52732,0.53405,1.35139,-0.92735,0.30928,-0.85135,-0.33700,-0.72422
13.22298,14.47289,0.34147,0.81265,0.03827,0.35298,0.65506,0.55430,0.16113,0.78082,-0.66203,-0.39371
12.88801,15.05647,-0.54722,1.14443,0.76975,0.26303,1.34143,0.80056,0.21104,0.51193,-0.42442,-0.27336
12.88501,14.91697,-1.20652,0.92531,0.97243,0.48180,1.29219,0.25410,-0.75631,-0.37682,0.10828,-0.92437
13.56705,14.32171,-1.53621,0.67762,0.18027,0.10989,0.62553,0.14114,-0.86094,-0.74847,0.01943,-0.02434
12.94369,13.84473,-2.21733,0.88061,0.90930,0.22454,0.83954,0.98535,-0.52207,-0.43299,-0.18432,0.68402
13.44413,14.61485,-1.82026,1.20670,0.16525,0.43278,1.36905,-0.34253,-0.77363,0.84494,-0.08671,0.22800
12.78119,14.84773,-2.62163,1.47069,0.69457,0.42007,0.74881,-0.43793,0.28152,-0.48388,0.16829,0.30741
12.68781,14.62674,-2.66793,1.18489,0.50765,0.47315,1.41649,0.18838,0.60370,-0.62137,-0.55562,0.62410
13.21545,14.99204,-2.20012,0.52368,0.47441,0.25384,1.09500,0.78253,0.38401,-0.41285,-0.51656,0.69773
13.21446,14.54855,-2.43798,0.80438,0.56456,0.27101,1.06047,0.67328,0.79840,-0.04849,-0.30531,0.57552
13.15399,15.04767,0.10228,0.52300,0.21077,0.45197,0.92569,-0.29373,0.86007,-0.49997,-0.41487,-0.95025
12.88603,13.97147,-0.08260,1.40189,0.70655,0.39272,0.72652,0.59343,-0.81471,0.69115,-0.48796,-0.30290
12.58615,13.80171,0.10997,0.84020,0.39053,0.41636,1.33483,0.71083,-0.63098,-0.31040,-0.59607,-0.87206
13.33020,14.44607,-0.27269,1.45310,0.75113,0.19096,1.26657,0.75587,0.49098,-0.23810,-0.36940,0.90491
12.99350,13.82200,0.63577,1.27869,0.31543,0.45519,0.63997,0.49029,-0.48582,-0.95399,-0.39088,-0.28652
13.27144,13.77212,-1.26804,1.00002,0.46554,0.47521,0.92657,-0.00180,-0.75665,-0.45805,-0.08139,0.07851
12.99608,14.65772,-2.21743,0.52880,0.89899,0.29627,1.10901,-0.50249,0.89053,0.42246,0.11744,0.00006
13.64222,15.03236,-2.70069,0.64825,0.92355,0.31417,0.72797,-0.11885,-0.09255,0.16321,-0.19499,-0.65707
12.81718,15.02909,-2.38028,0.47086,0.88589,0.53305,1.10832,0.69715,0.65592,-0.75594,-0.09375,0.14431
13.45140,13.95794,-2.50845,0.59991,0.75616,0.34016,1.04817,-0.70651,0.83992,0.79816,-0.42949,-0.96284
12.50438,13.84062,0.22545,1.05075,0.35212,0.36183,1.33058,-0.95682,-0.92564,-0.24665,-0.65119,-0.73058
