# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.32041,14.46841,-2.03104,0.94541,0.83418,0.48402,0.85997,-0.16374,-0.65695,0.13332,-0.60425,-0.94425
13.37490,13.98012,-0.60429,1.26521,0.64514,0.25745,1.04752,-0.70328,-0.42363,0.95071,-0.05767,-0.19655
12.99638,14.87256,0.08371,0.45171,0.50510,0.14504,1.11187,0.30758,-0.62784,0.51817,0.02322,-0.72369
12.93694,14.16691,-0.50060,0.90407,0.62545,0.23465,0.97438,0.15207,0.26294,0.67930,-0.35207,0.51124
12.58094,14.82755,0.93234,0.69414,0.82064,0.06526,1.00191,0.38937,0.77272,0.86558,-0.03232,-0.51788
12.51974,14.50598,0.50116,0.33750,0.37787,0.15207,1.05575,-0.53810,-0.23373,-0.34075,-0.38258,0.66923
13.12100,15.01343,-0.95523,0.67518,0.81700,0.47431,0.89017,-0.05265,0.82654,-0.96687,-0.17254,-0.54438
12.95920,14.92629,0.02603,1.37704,0.59343,0.05555,1.39614,-0.25738,-0.77469,-0.77331,-0.04864,0.61107
12.62945,14.37251,0.36625,1.10850,0.33951,0.54610,1.42881,-0.19624,0.02748,0.16607,-0.10381,-0.20751
12.94773,14.78939,-0.18968,0.72353,0.81914,0.08524,0.59499,-0.55311,0.85715,0.24520,-0.56143,-0.52399
13.17020,14.03716,0.57207,1.33686,0.25265,0.37196,1.28597,0.94110,-0.60969,0.27597,-0.22613,0.18227
12.75345,14.34821,0.41472,1.28381,0.11708,0.14845,1.02502,0.23785,-0.12027,0.08641,0.11796,-0.36466
13.25943,14.77357,-0.76719,1.03206,0.49410,0.10994,1.00161,0.16459,-0.70512,-0.94028,-0.22107,-0.62519
12.51182,14.37973,-0.04499,1.05733,0.83025,0.50100,1.43529,0.29768,-0.07649,-0.04337,0.04280,-0.11729
13.42819,15.06670,-0.09361,0.72879,0.89884,0.59726,1.31108,0.14085,0.36134,0.57466,-0.41022,-0.22444
12.98498,14.76910,0.10448,1.14128,0.61235,0.43613,1.37869,0.09377,-0.01444,-0.47332,-0.39329,-0.45787
13.67375,14.32705,-1.81894,0.81361,0.73310,0.33177,1.34070,-0.67629,0.83003,-0.92616,-0.14405,-0.68904
13.10451,14.94876,-1.09870,1.08750,0.20183,0.39256,1.44919,-0.70072,-0.03042,-0.38717,-0.18695,0.35102
12.78207,14.02749,-2.50774,1.23834,0.53346,0.48043,1.25019,0.53154,0.14615,0.10771,0.10324,0.71972
13.53313,14.70839,-1.44331,1.14608,0.54245,0.49983,1.09844,-0.32814,0.71125,0.48643,-0.39339,0.04964
13.45019,13.68739,-2.67661,0.81604,0.79112,0.50111,1.34011,-0.90312,0.56427,-0.40844,-0.02135,-0.19085
13.67536,14.92926,-0.74023,0.39411,0.32646,0.15990,1.29312,-0.47417,-0.94485,0.62413,-0.49785,0.80856
13.57393,14.36517,-0.52138,0.38203,0.39285,0.32593,1.45203,0.53556,0.30782,0.73527,-0.13656,-0.27494
13.60450,14.10058,-2.11865,0.30737,0.54900,0.55399,0.94101,0.76268,0.54719,-0.53573,-0.66481,-0.56108
12.94439,13.95031,-1.57233,0.87032,0.30325,0.41182,1.42669,0.39325,0.07171,-0.73066,-0.27849,-0.92939
13.64653,14.82671,-2.32748,0.85075,0.43968,0.10245,0.86198,0.64314,0.60285,-0.13263,-0.13512,0.21144
13.33366,14.88777,-1.98622,1.34693,0.44082,0.39290,0.61815,0.97181,-0.29664,-0.89307,-0.55376,0.24472
12.84975,14.33741,-0.06423,1.40095,0.57013,0.10418,1.42043,0.54302,-0.21399,0.02161,0.07413,-0.13020
13.46010,14.51743,-0.92167,0.77505,0.07779,0.52897,0.79123,-0.88640,0.65361,-0.92749,-0.38040,0.27557
12.83514,14.78752,-1.24731,0.96528,0.45317,0.19854,1.17581,-0.95403,0.82393,-0.39736,-0.42472,0.22962
12.91172,14.67417,-0.38098,0.49753,0.86699,0.50256,1.10472,0.91020,0.09574,0.77422,-0.45945,0.58700
12.98107,14.80616,0.21461,1.15875,0.98760,0.52734,1.33981,-0.31829,0.03453,0.28190,-0.27803,0.35925
12.55095,14.45910,0.17267,0.43073,0.00269,0.14633,0.97374,-0.28915,-0.19892,-0.09080,0.10117,0.08505
12.51952,14.32800,0.86345,0.83229,0.35682,0.48062,0.77485,0.49300,-0.72193,0.45105,-0.30094,0.35837
12.56396,15.09140,0.04647,0.66544,0.26600,0.31431,0.69424,0.59954,0.23323,0.35543,-0.65648,-0.67722
