# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.91561,15.03173,-0.21344,1.42741,0.66887,0.25002,0.80557,0.87126,-0.73474,0.53672,-0.22665,0.15555
13.52646,13.74697,0.28501,0.88150,0.41451,0.35626,0.60020,-0.48963,-0.58858,-0.67593,-0.01535,0.73759
12.50316,14.23911,-0.56483,1.37514,0.84011,0.00554,1.18984,-0.65865,0.43262,0.02244,-0.34433,-0.66864
12.97750,13.97919,-0.18841,1.45144,0.28298,0.28276,0.69836,0.84633,-0.60881,-0.94789,-0.50011,-0.90038
12.82166,14.78014,-0.08252,1.11800,0.44314,0.59310,1.35292,0.52501,0.09371,-0.95755,-0.37126,0.58133
12.63556,14.12122,-1.87266,1.35985,0.38109,0.51485,1.45600,-0.20783,0.55888,-0.26195,-0.39560,0.80972
13.60444,14.46856,-0.63090,0.40998,0.77362,0.36455,0.78203,-0.39383,-0.21051,-0.62829,-0.13313,-0.74621
13.02651,13.71402,-1.19533,1.13199,0.79892,0.51025,0.70555,0.21169,-0.39312,0.59617,-0.12102,0.74346
13.22296,14.46134,-2.94811,1.22838,0.24204,0.46656,0.69272,0.38499,0.58067,-0.73137,-0.48533,0.52219
13.25042,14.94291,0.31129,0.68898,0.86280,0.13915,1.15383,-0.72161,-0.26020,0.17011,-0.33202,0.14313
12.59549,14.73805,-0.00302,1.10411,0.57965,0.31648,1.09981,0.53972,0.46106,-0.56872,-0.42349,-0.65752
13.49072,14.48616,0.78433,1.05893,0.57135,0.55143,1.45126,-0.48308,0.75218,-0.54648,-0.51471,-0.50285
12.91323,14.45161,-1.18292,0.78866,0.83984,0.54156,0.90925,0.07582,0.49235,-0.40089,-0.45293,0.01586
13.13983,14.98775,-0.46755,1.07257,0.16641,0.17577,0.93644,0.24411,-0.79746,-0.01010,-0.61012,0.46584
13.39393,14.06254,0.32140,0.41674,0.24347,0.20622,1.05543,0.42349,-0.55921,0.29289,0.01957,0.93759
13.27471,13.91926,-1.49242,1.30845,0.61203,0.46843,1.10414,-0.88819,0.17276,-0.67239,-0.38100,-0.07368
13.53304,14.52321,-0.91539,1.44982,0.57964,0.50183,1.45100,0.90904,0.20237,0.13036,0.06449,0.39042
