# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.65381,14.53810,-1.62490,0.43507,0.23026,0.05213,0.62555,-0.76577,-0.72805,0.65303,0.04761,-0.39738
12.83531,14.97710,0.48297,0.97021,0.12700,0.16427,1.09208,0.15798,0.20479,-0.67744,-0.09620,0.39499
13.17365,14.20901,-0.12827,0.96565,0.24350,0.02525,1.17213,-0.77235,0.88947,-0.89940,-0.07117,0.62642
13.19055,14.57355,0.39387,1.43364,0.30448,0.00654,0.84275,-0.93290,0.59647,-0.92217,0.10522,0.81566
13.28922,14.99042,0.90375,0.67816,0.08875,0.02747,1.19209,0.10216,-0.62236,0.50870,-0.46353,-0.29073
12.96714,14.65606,-2.00888,1.26320,0.56165,0.45049,0.60397,0.02147,-0.04521,0.28484,0.00018,-0.82267
12.66465,14.30987,-2.68915,0.70874,0.12739,0.51833,0.90517,0.12293,0.52209,-0.22433,-0.56327,-0.49239
13.44725,14.23535,-0.57626,0.85336,0.60272,0.24193,0.83666,-0.85339,-0.22903,-0.11715,-0.40575,-0.90621
12.88073,14.23385,-0.82559,0.48516,0.79341,0.18696,1.00072,0.32083,0.84767,0.08228,-0.30711,0.83214
13.20630,13.74699,-2.33012,0.46571,0.87576,0.12695,1.47202,-0.77418,-0.34453,-0.55985,-0.20852,-0.44305
13.61793,14.01752,-0.71561,1.22280,0.98120,0.11942,0.82230,-0.52809,0.71968,-0.32910,-0.40280,-0.72834
12.97092,14.26239,-1.41206,1.27885,0.05395,0.49486,0.81349,0.61335,-0.60607,0.73084,-0.41819,0.73097
12.71535,13.72439,-1.36362,1.33705,0.51737,0.00998,1.06437,-0.82395,0.21382,-0.73514,-0.56649,0.83881
12.72189,14.33602,0.49383,0.90957,0.24177,0.36414,0.93336,-0.90455,0.72319,0.42084,0.08114,0.62728
13.02396,13.70175,-1.56800,0.55017,0.02073,0.40321,0.80566,-0.14798,0.12953,-0.81261,0.10943,0.79921
13.09834,14.65042,-2.41368,1.07716,0.07603,0.56999,0.81352,0.29760,0.47699,-0.06052,-0.49718,0.83178
13.19068,15.05333,-0.14085,1.36278,0.56028,0.13537,0.78332,0.05826,-0.72213,-0.31302,-0.30214,0.23003
13.39646,14.57076,-0.51933,1.29258,0.80459,0.45899,0.71902,0.39964,-0.88594,-0.32271,0.15864,-0.72332
12.84987,13.70510,-1.71608,0.31250,0.83078,0.18786,0.75859,0.09415,-0.22211,0.29641,0.07580,-0.12064
12.55275,13.91958,-2.48331,1.43743,0.41664,0.27698,1.25431,0.38725,0.88144,-0.22027,-0.53966,-0.94322
12.55560,14.37909,-0.10877,1.22062,0.65842,0.57631,1.36700,-0.45264,-0.29412,-0.73259,-0.45426,0.34973
13.02770,14.45118,-0.58654,0.36107,0.39232,0.11246,1.43115,-0.60918,-0.27149,0.00146,-0.23321,0.68457
12.89128,14.34085,-0.49279,0.58950,0.65783,0.49703,1.10513,-0.69312,0.28752,0.64013,0.12899,-0.46618
13.12112,13.69886,-0.36549,1.25782,0.19092,0.13351,1.16264,0.67253,0.76992,-0.06584,0.13435,0.33797
13.36466,14.77255,-2.39833,0.49347,0.62384,0.43013,0.78226,0.41909,-0.91359,0.41254,-0.01528,-0.67905
13.66658,14.56173,0.67244,0.58877,0.15699,0.36162,0.69167,0.07408,-0.71750,0.35440,-0.38025,-0.39082
13.66917,14.24823,0.12978,0.73079,0.19356,0.22727,1.19345,-0.28869,0.38798,-0.00922,0.19990,-0.61349
12.99455,14.00177,0.45061,1.42025,0.06708,0.18830,0.79595,-0.32429,0.65015,-0.76883,-0.11398,-0.00890
12.59834,14.06964,0.51702,0.35295,0.60996,0.26168,0.65038,0.05016,0.11020,-0.73758,-0.59427,-0.16897
12.95846,14.24694,-0.01016,1.13348,0.17593,0.27859,1.18206,0.24191,0.91736,0.16346,-0.66874,0.44415
12.74978,13.80659,0.94207,0.92252,0.02874,0.22839,1.40833,-0.42011,-0.60766,0.69128,-0.33549,0.53909
12.80222,14.96562,-1.01735,0.81310,0.73989,0.00147,1.27282,0.42990,-0.46378,-0.91297,-0.65808,0.61786
12.76166,13.80439,0.67550,0.75341,0.48951,0.33012,1.00892,-0.60595,-0.00905,0.46833,-0.15251,-0.75199
13.44218,15.08161,-0.03517,0.65517,0.93799,0.21781,0.91592,-0.13541,-0.74706,-0.72505,0.01709,-0.63784
13.36709,14.83269,-0.96258,0.98388,0.22201,0.09922,0.77534,0.09362,0.38244,-0.30453,0.17678,0.88232
12.88085,14.51053,0.32927,0.60785,0.34320,0.45136,0.84327,-0.37607,0.81915,0.34995,0.16321,-0.73904
13.25721,14.20055,-0.63305,0.89889,0.38677,0.40806,1.02836,-0.49430,-0.61360,-0.11606,-0.59921,0.47653
13.12486,13.66578,-1.44792,1.17031,0.84574,0.54800,1.00763,-0.39305,0.91073,-0.14082,-0.02074,-0.47804
13.52557,14.43125,-2.23155,0.32703,0.84613,0.38066,1.20279,0.06458,0.91626,0.30384,-0.48887,-0.24461
12.61390,14.02725,-0.34216,0.41875,0.44576,0.37861,0.76309,-0.73183,-0.70289,-0.32279,0.07204,-0.75557
13.66501,14.05821,-1.22421,1.01690,0.52569,0.51566,1.30947,-0.52154,-0.19162,0.16609,0.05206,-0.70783
12.61410,14.30218,-2.09360,1.30065,0.43363,0.32719,1.41752,-0.75471,-0.59637,-0.02172,-0.62587,-0.24266
12.65428,14.30278,-2.73617,0.34022,0.30334,0.08024,1.02573,0.27402,-0.86338,0.84559,-0.47169,0.67165
12.76068,13.74270,-0.72929,0.97863,0.55243,0.01161,1.01619,-0.49553,-0.34502,0.22910,-0.14844,0.09532
12.81009,14.79030,0.06749,0.35142,0.25283,0.43969,1.21037,0.70426,-0.41618,0.14888,-0.10921,-0.90036
13.37224,14.45969,-1.98522,1.46468,0.43071,0.12237,0.90139,-0.86398,0.38920,0.23413,-0.00131,0.12333
12.58446,14.44881,-0.60808,0.96223,0.72551,0.39147,0.66327,-0.44107,0.38299,0.57633,-0.25034,0.22304
12.73302,14.47139,-0.05672,0.66861,0.71938,0.45252,0.90260,-0.08567,0.03324,0.32987,-0.48399,0.33105
12.50234,15.04972,-1.85055,1.12204,0.95171,0.01723,0.79261,0.86497,-0.93758,-0.06609,-0.02162,-0.13220
13.25961,14.70822,-0.68547,1.39932,0.32481,0.26482,0.82407,0.38156,-0.89753,-0.11171,-0.29264,0.84662
12.81680,13.64518,-1.63407,0.73986,0.94810,0.60467,1.48821,-0.48444,-0.35050,-0.26523,-0.05855,-0.63436
13.46598,14.97758,-0.07843,1.17941,0.98765,0.49435,0.95250,0.96772,0.15083,-0.28473,-0.27100,0.84859
13.24255,13.90945,0.16182,1.13741,0.82482,0.07867,1.28187,-0.42866,0.57157,0.92415,-0.58721,0.13343
