# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.63510,14.23925,0.56225,1.08643,1.12464,0.62002,0.78373,0.33835,0.97234,0.10137,0.52114,-0.00523
13.88458,13.56619,-0.48768,0.93285,1.12106,0.68286,1.81196,0.06444,-0.44723,0.99813,-0.28202,0.29011
13.75014,13.62272,-3.39927,0.88765,0.22255,0.19743,1.81043,-0.65367,0.89928,0.27380,-0.07611,0.10592
12.61193,13.97892,-3.26737,1.44936,1.27105,0.92104,1.26222,-0.31201,0.25624,-0.70185,0.28475,0.40793
12.89144,13.44039,-0.70329,1.13866,0.69051,0.70323,0.72665,0.21925,-0.16390,0.36064,-0.23404,0.97346
12.20205,13.18397,0.20783,1.03511,0.63027,0.10238,0.39977,-0.06811,0.27590,-0.74069,0.27720,-0.29619
12.64951,14.36427,-1.99430,1.38860,1.43484,0.00256,0.90995,0.94137,-0.21019,-0.52000,0.23347,-0.64827
12.75277,13.87425,-2.83078,1.26644,1.48916,0.77866,0.39286,0.41890,0.34714,0.75108,0.59073,0.25209
12.96151,14.02693,-2.91287,1.18150,0.48323,0.01994,0.28477,0.23161,-0.04273,0.42190,0.12007,0.93230
12.34216,14.08345,-2.14975,0.53625,0.94632,0.03624,0.32980,0.81223,0.48974,-0.17207,0.09670,0.02096
13.54220,13.80300,0.16335,0.94439,1.18542,0.86823,0.14962,-0.66974,-0.57801,0.91356,0.06182,0.76015
13.01402,14.80192,-2.28277,1.07092,0.70787,0.65104,0.45023,0.15835,0.90072,-0.27407,0.39482,-0.95904
13.03461,13.71750,-0.13398,0.64407,0.57359,0.12793,1.18155,0.33843,0.70523,-0.42066,0.48634,-0.97807
12.95185,13.02676,0.44805,0.65242,1.27046,0.66224,1.20474,0.67655,0.44092,0.93110,0.43257,0.04743
13.88535,13.85427,-2.64394,1.34608,0.03111,0.82138,0.96217,-0.49281,0.35242,-0.31675,0.84431,0.95864
12.78346,13.38486,-2.69829,1.02579,0.64567,0.96405,1.58444,0.24265,0.32533,0.94345,0.28403,-0.21295
13.63902,14.83478,-2.58352,1.41679,0.31608,0.04775,0.17843,0.45600,0.56066,0.99612,0.47352,0.06061
13.13103,13.79831,-1.81461,0.56564,0.43916,0.12084,0.53370,-0.09512,-0.26066,0.96016,-0.71274,0.99507
