# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.69309,13.60164,-0.49847,1.36783,0.87790,0.82920,1.49531,-0.84117,-0.46327,-0.93164,0.55785,-0.81521
12.16757,13.57573,-0.06230,0.50518,0.67308,0.32509,0.00540,0.90619,0.29401,-0.63004,0.79564,-0.74191
12.22514,14.08871,-0.86382,1.22341,1.34417,0.62022,1.58670,-0.81954,0.58759,-0.91205,-0.60976,-0.21804
13.61718,14.96645,-3.21969,1.23439,1.02478,0.32960,0.00834,-0.39900,0.17679,0.14436,0.17724,0.70942
13.27591,13.13395,-1.85608,0.73494,0.16160,0.02047,1.57170,-0.64001,-0.75446,-0.07107,-0.19847,0.78908
13.56727,13.06146,-2.59882,1.15639,0.81169,0.45622,0.18248,0.57517,0.40306,-0.77116,-0.71705,0.97472
13.48808,14.67758,0.69112,1.49423,0.72186,0.59893,0.06109,-0.19106,-0.55197,0.02620,-0.67643,0.15390
12.27968,13.29344,-3.12306,1.41634,1.34212,0.89760,0.00585,0.81483,-0.61016,-0.74513,0.11145,0.79774
12.65258,13.20042,-2.86570,1.04887,0.31749,0.88091,0.07453,0.62471,-0.81700,-0.08944,-0.09453,-0.30466
12.71835,13.61190,0.97046,0.79984,0.70304,0.86687,1.79643,0.77967,-0.21425,0.69291,-0.10175,-0.41517
13.30037,14.66182,-1.96842,1.43979,0.82037,0.69185,1.09667,0.28045,0.15927,0.17129,-0.50280,-0.45701
13.05393,14.81192,-1.48692,1.40039,1.05729,0.81821,1.97911,-0.67302,0.70027,0.39459,-0.97459,-0.43161
13.60880,13.52833,0.46380,0.88458,0.94579,0.79753,1.78057,-0.43032,0.93890,-0.91924,0.85439,0.23514
13.64127,13.79897,0.21770,1.29139,1.31979,0.31966,1.97074,0.95526,-0.35496,-0.42925,0.74365,-0.67796
13.66631,13.98824,-2.29802,0.64248,0.30394,0.65330,0.02639,-0.27860,0.93105,-0.87484,-0.18623,0.74393
12.84709,13.97076,0.31660,1.34182,0.24609,0.49514,1.24898,-0.65610,0.77984,-0.47189,0.22913,-0.89731
13.10139,14.95159,-2.19550,1.16543,0.12587,0.88112,1.17438,0.17789,0.21196,0.07442,0.71742,0.07110
13.15277,13.22236,-3.43262,1.02480,0.02026,0.38673,1.02570,-0.18617,0.85733,0.21650,0.03374,-0.89457
13.24339,13.61554,-0.56283,1.20726,1.46582,0.65207,1.93515,0.55394,-0.16832,0.50176,-0.44079,0.18144
12.80803,13.18577,-2.26915,0.64262,0.30976,0.87820,1.24988,0.82530,-0.48747,-0.90370,0.48469,0.01906
12.35111,13.65779,0.68455,0.79476,1.31166,0.94403,0.05375,-0.36266,-0.59498,0.82778,-0.20497,0.77544
12.58342,14.04602,-0.90148,0.59649,1.42596,0.56541,1.55425,0.43409,0.17681,-0.55971,0.84284,0.79692
13.25094,13.91305,0.66738,1.25324,0.81745,0.64415,0.11921,0.79627,-0.49702,0.22111,-0.59130,0.63077
12.11152,13.30585,-3.05108,1.38333,0.02116,0.48768,1.68717,0.82545,-0.41787,0.20293,-0.28596,-0.26090
13.54163,13.33499,0.31561,1.20747,0.58114,0.88142,0.30700,-0.56389,-0.06818,0.89676,-0.83016,0.61692
12.76779,14.85848,-0.08712,1.14949,0.27559,0.94051,1.01402,0.25441,-0.66781,0.69645,0.61293,0.49645
12.04345,14.14417,-1.43859,1.39191,0.40546,0.12400,1.55088,-0.45720,0.97831,-0.55321,0.33135,0.78444
12.10601,14.39049,-1.71161,0.66314,1.38233,0.93998,1.14375,-0.84381,0.27283,-0.21672,0.10210,-0.81464
12.73604,13.81648,-3.08618,0.78417,1.02721,0.85729,0.15415,-0.22262,0.47624,-0.69611,-0.97155,-0.65146
12.67248,14.46846,0.00447,1.10684,1.24724,0.06831,0.25184,-0.85492,0.45042,0.49932,0.85598,-0.10469
12.98232,14.24483,0.68249,0.68184,0.81208,0.29168,1.41657,0.92538,0.90372,-0.16746,-0.00770,0.83823
12.78124,14.35069,-2.50310,0.86377,0.15528,0.26763,1.10058,-0.26513,-0.62880,0.76974,-0.71138,-0.39502
12.72976,13.05714,-0.09265,1.28348,1.47728,0.56916,0.03127,-0.61896,-0.37732,0.82274,0.26946,-0.74622
13.72519,13.20814,0.83326,1.49103,1.00499,0.47602,0.67813,-0.08553,0.30509,0.17140,-0.82689,0.47024
13.25026,14.36536,-0.61564,0.97134,0.82222,0.28570,1.90489,-0.24301,-0.42422,0.53813,-0.72837,-0.77758
13.68582,14.15894,-0.93785,0.72599,0.41386,0.65925,0.87766,0.70321,0.98017,-0.96876,-0.19258,-0.27358
13.47861,13.99164,-2.86957,0.65119,0.59263,0.67341,1.00267,0.59212,-0.94510,0.52006,0.44790,0.22575
13.52535,13.89328,-0.68592,0.81469,1.43462,0.62699,1.06797,-0.26605,0.75888,-0.94729,-0.84257,-0.07456
12.72337,13.00874,-2.90687,1.39650,0.29634,0.26783,0.82985,0.14401,0.09346,0.25248,-0.91533,-0.85736
12.85359,14.40990,-0.39828,0.83133,0.70265,0.79785,1.97473,0.76161,-0.31879,-0.64482,0.16207,-0.70454
13.38396,13.38673,-1.31867,1.07278,1.28319,0.68542,1.56975,-0.83698,-0.36184,0.74505,-0.78191,-0.70092
13.22726,13.75479,-2.67434,0.87394,0.46182,0.19168,1.43732,-0.32995,0.51733,-0.03404,0.85616,0.48227
13.74169,13.20709,-1.27020,1.19493,0.63081,0.17673,0.52120,-0.05338,-0.69593,-0.14176,0.25819,0.18306
13.46187,14.28984,-3.06489,1.43213,1.42373,0.17085,0.32940,-0.75224,-0.15733,0.26180,0.79244,-0.31294
12.21677,14.14662,0.24580,1.37728,0.34802,0.26130,1.81870,0.04401,0.97060,0.62658,0.24679,0.87171
13.12332,13.44564,-1.80807,1.08212,0.05985,0.35698,1.51400,-0.27211,0.41334,-0.23981,-0.90382,-0.80345
12.70893,14.97738,-0.01951,0.87160,0.79535,0.58430,0.20440,-0.12685,0.54162,-0.27829,-0.90647,0.33105
12.24087,13.39161,-1.90886,1.45069,0.63648,0.36935,0.10215,0.02514,-0.00042,-0.43229,0.49600,-0.56291
12.08271,14.70182,-2.24481,1.20860,0.36023,0.19939,0.09654,0.51606,-0.81083,-0.45508,-0.31170,0.17277
13.72604,13.27356,0.64951,0.51927,0.55541,0.91440,0.06772,-0.93372,-0.98637,-0.70288,0.40474,0.06490
12.13409,14.99421,-1.44260,1.11445,0.06202,0.69379,0.21241,-0.05036,0.50991,0.28702,-0.93256,-0.86444
13.80911,14.79951,-0.52038,1.32139,0.90302,0.98670,0.53051,0.13920,-0.60889,0.73756,0.39412,0.04480
12.96592,14.26547,-2.88619,0.56190,1.04642,0.99620,0.53774,0.25639,-0.83674,-0.80627,0.69757,0.55382
12.45935,14.00755,0.86398,0.68425,1.41969,0.93542,1.21025,0.32785,0.54194,-0.28233,0.21248,-0.59956
13.84612,14.52288,0.10996,1.00221,0.62596,0.79386,0.10471,0.22697,-0.98068,-0.95618,0.09958,-0.00422
13.17003,13.53208,-0.20309,1.00072,0.73009,0.90963,0.94012,0.65006,0.31913,0.38126,-0.90168,-0.86832
12.45874,14.45965,-3.43840,1.38920,0.40214,0.10754,0.59723,0.82340,0.21739,0.23908,0.94401,0.15381
13.83765,13.68530,-1.31602,0.90257,0.58225,0.92250,1.44047,-0.65715,0.79444,0.57715,-0.83820,-0.36894
12.26715,13.15796,-0.61847,0.78640,1.45267,0.35378,0.04581,-0.72368,-0.71403,0.95850,-0.64399,0.62407
13.76121,14.49361,-1.56132,1.33444,0.83810,0.62770,1.97335,-0.02775,0.22052,0.30688,-0.48372,0.90534
13.40549,13.62664,-2.57853,0.70029,0.42472,0.24412,0.86563,0.28650,-0.63476,0.21683,-0.51940,-0.27259
13.93519,14.91713,0.48985,0.99200,1.19882,0.72535,0.54178,-0.67999,-0.03832,0.50527,0.91398,0.63152
12.08809,14.47266,-1.99881,1.42031,1.44008,0.11153,1.33758,-0.00423,0.15882,-0.30761,-0.08791,-0.32602
