# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.82937,14.80063,-1.77456,1.14224,0.21735,0.89997,1.83780,0.49381,0.85007,-0.87761,-0.62059,0.36687
12.83480,14.27117,-3.23027,1.28699,1.19084,0.88196,1.32483,-0.14540,0.34108,-0.51774,-0.36671,-0.11732
12.29498,14.72960,-0.23462,1.39631,1.29439,0.80810,1.22819,-0.06562,0.75434,0.67259,-0.82374,-0.62455
13.62288,14.53735,-2.85673,1.08077,1.15326,0.81631,0.18679,0.71286,-0.44714,-0.48361,-0.48988,0.07700
13.73412,13.70264,-1.74203,1.39691,0.03739,0.18338,0.63102,-0.85557,-0.97008,-0.67874,-0.33709,-0.89178
12.99618,13.33115,-1.87910,1.09578,0.50010,0.37344,0.80988,0.22288,0.85223,0.20845,0.65653,0.51005
12.09715,14.97498,-2.71385,1.14948,1.04444,0.39206,0.60910,0.91533,0.53686,-0.79347,-0.55371,-0.57727
13.54581,14.35745,0.88895,0.62573,1.33851,0.06587,0.28134,0.28252,0.99989,-0.66884,-0.17528,-0.76762
12.46154,13.47531,-2.25540,1.13649,0.97934,0.37525,0.44326,0.14313,-0.72811,-0.81657,-0.71356,0.65640
12.37587,13.86940,-0.91450,1.46132,1.46067,0.37784,0.87062,-0.97838,0.95389,-0.10124,0.45182,-0.44547
12.65030,14.11403,-0.58196,0.74287,0.23844,0.91211,1.65974,0.29864,0.89624,-0.96020,0.74608,-0.76513
12.73036,14.41872,-2.87545,1.21546,1.30919,0.56833,1.73696,-0.77519,-0.79401,0.08824,0.18223,-0.41116
13.72539,13.34153,-0.62427,0.50943,0.47941,0.39610,0.61690,0.92961,0.37431,-0.75683,-0.77888,0.99254
13.19363,14.04010,-1.51881,1.06802,1.48744,0.64825,1.16910,-0.68067,-0.28680,0.70952,-0.32320,0.91194
12.04174,13.86912,-3.27874,0.76519,1.48034,0.29949,1.99561,0.58847,0.41027,-0.02596,0.09700,-0.43277
13.43668,14.63721,-1.99867,1.49819,0.07562,0.72991,1.07187,0.22398,-0.48075,-0.61697,0.17911,-0.82818
