# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.32029,14.33103,-1.92450,1.03553,0.01398,0.06438,1.34979,-0.69396,0.42774,-0.37599,0.27971,-0.84143
13.15085,14.71597,0.37374,0.52702,0.47903,0.66622,0.52009,-0.77493,0.38372,0.05345,-0.37960,-0.10578
12.99350,13.72876,-1.92454,0.90074,0.25393,0.12492,1.95543,0.96774,0.77569,0.27354,0.84126,0.22811
13.92604,13.37155,0.50137,0.66024,1.06997,0.42198,0.95376,0.93946,0.35591,-0.17391,0.25757,0.99765
13.94504,14.29133,0.18574,1.20123,0.21407,0.65578,0.87755,0.19967,-0.11066,0.77734,0.75213,0.52183
13.37194,14.47574,-0.17810,1.03069,0.20564,0.99709,0.74613,0.55257,-0.71254,0.68317,-0.32878,0.60562
13.63091,14.23829,0.25238,1.02081,1.02434,0.28761,0.90217,0.07888,-0.96792,0.04504,-0.33833,0.31433
12.30882,14.57720,-3.29935,0.63510,0.93325,0.30719,1.44128,-0.29054,0.57622,0.06004,0.25464,0.29069
13.75490,13.23461,-0.64790,0.57966,0.73155,0.07283,0.99974,-0.45915,-0.52096,-0.27817,-0.65136,-0.23538
13.82872,14.08631,0.50318,1.19639,1.30394,0.97074,1.29259,-0.62419,-0.89400,-0.05713,0.57684,-0.68539
13.19854,14.52241,-2.52900,0.51286,0.14542,0.74453,0.29589,-0.67332,0.35174,0.03538,0.87599,0.54533
13.79673,14.98921,-1.45346,0.56940,0.10614,0.37171,0.09088,0.58684,-0.88785,-0.11597,0.16484,-0.60769
13.93160,14.94904,-2.61819,1.32434,1.19702,0.75351,1.06340,-0.23581,0.36115,-0.68611,-0.59979,0.46835
13.50778,13.68273,-3.02111,0.57529,0.87714,0.29281,1.05649,-0.95776,-0.56104,0.87165,-0.91145,0.06044
13.40417,14.67925,-1.19853,0.64088,0.58043,0.01278,0.62113,0.42062,-0.50347,-0.41449,0.27654,-0.10509
13.52903,13.52031,0.88456,1.01671,1.22266,0.20810,0.62605,0.62313,-0.14927,0.22098,-0.33998,0.29786
12.52020,13.68111,-2.47757,0.98856,1.28929,0.56652,1.18185,-0.74036,-0.49814,-0.35230,-0.27821,0.37345
12.81310,13.10274,-1.03161,1.31522,1.06558,0.50168,0.06797,-0.25685,0.47872,-0.78434,0.76114,0.69421
13.65991,14.41813,-1.86591,0.78585,1.43748,0.40541,1.91143,-0.36289,-0.23539,-0.66525,-0.09234,-0.69477
12.34726,13.91010,-1.67801,0.72913,0.49741,0.09136,1.26351,-0.11244,0.94310,-0.54966,0.62961,-0.80020
13.22635,14.98117,0.07921,0.50184,0.74241,0.23900,1.39455,-0.58056,-0.25575,-0.20224,0.15324,0.53423
13.26158,14.36205,-1.14066,0.63723,0.83595,0.93455,0.74074,-0.82327,-0.46570,-0.22373,0.39162,-0.64674
12.17374,13.43579,-0.86858,0.68501,1.08887,0.01723,1.94719,-0.13551,-0.83971,-0.71037,-0.80311,-0.54961
13.56339,14.34185,-1.86285,1.44065,0.12336,0.92844,1.47218,-0.35867,0.22892,-0.08273,-0.15222,0.27099
13.13261,13.23347,-0.40560,1.18902,0.21501,0.20652,1.58317,0.00841,-0.42653,-0.49100,0.82163,0.00184
13.72787,13.04434,-1.72490,1.13687,0.51496,0.61703,0.10593,-0.80482,-0.23476,0.88324,-0.54419,-0.71502
13.90348,14.96152,0.01050,0.81524,0.22452,0.84627,0.69477,0.51708,-0.55114,-0.36330,-0.52391,-0.25046
13.65637,13.99544,-2.63464,0.72950,0.52486,0.23626,1.69402,-0.75185,0.08187,-0.97656,-0.32724,0.19787
13.78581,14.34576,0.57455,0.71125,1.36119,0.48810,1.68281,0.10335,0.47059,0.00304,0.04822,0.34907
12.35936,13.27761,0.34830,0.54393,0.04328,0.34344,1.30866,0.01053,0.56950,0.59219,-0.61566,-0.01013
12.58728,14.67790,-2.60558,0.94136,0.52780,0.69319,1.75138,0.96917,0.23416,-0.70048,-0.69869,-0.37568
13.58300,13.79083,-3.14091,1.37301,0.91144,0.07732,0.17846,-0.85268,0.07118,-0.88073,-0.46243,0.59503
13.22988,13.50447,-3.33984,0.87505,0.30441,0.85790,1.03060,0.38603,0.63881,0.28782,-0.22417,0.57460
12.31788,14.35324,-3.02861,0.92446,1.21776,0.19741,0.51867,-0.26171,0.36030,0.28175,0.24709,-0.90329
12.69748,14.17241,0.51257,0.73345,0.23380,0.12043,1.98035,0.27056,0.77684,-0.75846,0.72409,0.75405
13.17446,14.92565,0.43897,1.25951,0.95445,0.02089,0.87464,0.17450,0.62341,-0.80821,-0.87816,0.15976
12.90289,13.55290,-2.23876,0.59253,0.90775,0.58388,1.68033,0.77732,0.73286,0.66845,0.74299,-0.16639
12.55655,13.57946,0.13927,0.78689,0.60145,0.09493,0.87384,-0.41541,0.87051,0.53772,0.04671,-0.34345
12.87248,14.95802,-3.32365,1.07360,0.40018,0.82671,1.51086,0.32018,-0.71642,0.21646,0.16362,0.04036
13.05942,14.43095,0.79801,1.17078,0.07423,0.49294,1.65778,-0.29049,-0.05605,-0.62501,0.91511,-0.42195
13.67791,14.82976,-0.77772,0.91858,1.36115,0.49462,0.25656,0.86434,-0.16987,0.20806,-0.16356,0.66280
13.99915,14.34582,0.72806,1.43163,0.14603,0.68425,1.46666,0.42954,-0.49946,-0.82282,-0.79696,0.54983
12.97492,14.54559,-0.56077,1.09981,0.97304,0.23520,1.23945,-0.20863,0.36949,-0.48150,0.86198,0.43498
12.29984,14.86654,-1.04069,1.43805,1.15566,0.07448,1.44037,0.51892,0.63987,-0.15141,-0.68251,0.94341
