# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.63657,14.17215,-3.33326,0.92663,0.83676,0.63290,1.42670,0.14916,-0.01698,0.10704,-0.50385,-0.57160
13.57742,13.08016,-1.02509,1.23005,0.46381,0.88013,1.53143,-0.56051,0.81962,-0.25954,-0.23874,0.62788
12.74053,13.91834,-2.25549,0.64687,1.02964,0.05292,1.94057,0.19430,0.15775,-0.14626,0.80557,0.18337
13.26488,14.98232,-2.95376,1.01735,0.32266,0.64799,0.38402,-0.50644,0.93922,-0.40133,0.90418,-0.71392
12.21629,13.28616,-0.57115,1.18720,1.28583,0.99372,0.70987,0.88915,-0.33804,-0.65214,0.16748,-0.57637
13.24265,13.96010,-2.55469,1.38821,1.39164,0.10135,0.50423,0.15144,0.85778,-0.58268,0.78521,-0.56082
13.37316,13.97239,-1.37346,0.61850,1.47276,0.64148,1.45693,0.18631,-0.02372,0.32398,0.23190,-0.06151
13.13374,14.42153,-1.61428,0.90698,0.46074,0.35973,1.08441,0.27846,0.97047,-0.25990,-0.76333,-0.92089
12.35925,13.67717,-1.38790,0.83891,0.27744,0.86942,1.99959,-0.66987,0.34984,-0.78812,0.21357,-0.53518
12.16338,14.80180,-2.39758,1.21714,1.44289,0.84672,1.37316,-0.70641,0.08732,0.03476,-0.16657,0.01704
13.41769,14.27720,-0.41472,1.15114,0.67734,0.17713,1.85275,-0.44204,-0.03714,-0.23359,0.90900,-0.96358
13.75235,13.71863,-2.24586,1.09774,0.75589,0.55531,1.75449,-0.24289,0.41038,-0.95993,-0.00963,0.22741
12.64746,14.49186,-3.04288,1.30711,0.13311,0.72846,1.34788,0.89457,-0.12254,0.09904,0.57103,0.65612
12.08542,13.91895,0.37159,1.13699,1.14751,0.07070,1.01152,-0.52555,0.35455,0.96699,-0.01863,-0.61163
12.79718,14.31057,0.90098,1.30420,0.06980,0.87249,0.74010,0.02479,-0.49266,-0.73376,-0.80682,0.66193
13.24371,14.64701,-1.27323,0.98518,0.80420,0.79678,1.18999,0.78585,0.84067,0.83807,0.67239,-0.98386
13.96522,13.31450,-0.70324,1.27668,1.23224,0.68289,1.05413,0.20892,0.23023,-0.81924,-0.06567,-0.61701
12.69480,13.37756,0.12301,0.95565,1.47917,0.65508,1.31880,0.31009,0.50455,-0.02057,0.67117,-0.44459
12.72562,13.71432,-0.21752,0.86111,0.39086,0.79331,1.94587,-0.91307,0.38381,-0.19981,-0.74640,0.55142
13.54385,13.03920,-1.16874,0.51474,0.48321,0.86116,1.17652,0.59536,-0.02854,-0.61256,0.37124,-0.72320
12.44686,13.12815,-3.07862,1.44721,0.01662,0.28771,1.47111,-0.04201,-0.36583,0.91698,0.51633,0.25097
13.86753,13.29976,-3.04071,0.87281,0.58242,0.71285,0.16983,0.71281,0.68998,-0.01341,0.97517,-0.07428
12.74742,14.75424,-2.32842,1.14536,1.05655,0.95622,0.30220,-0.53860,-0.14467,0.42967,0.79860,-0.65805
13.22755,13.87069,-2.61986,1.22219,0.11993,0.91582,1.05271,0.13477,0.76674,-0.37003,0.67470,0.97704
12.38513,13.30652,-2.01103,0.97560,0.34462,0.99179,1.65614,-0.21367,-0.49308,0.17465,-0.27815,-0.77240
12.82629,14.53810,-0.40380,0.81697,0.44734,0.29606,1.25762,-0.73332,0.86020,-0.18239,-0.27705,-0.31332
12.68829,13.01465,-0.45508,1.08661,0.09331,0.58899,1.85375,-0.56681,-0.36444,0.51774,-0.01642,0.01367
12.90320,14.75831,-1.78426,0.54547,0.66717,0.53747,1.03025,-0.22347,-0.04894,-0.83300,-0.91219,0.93756
13.91227,14.83515,-0.15796,0.57093,1.36272,0.05370,0.58807,-0.78102,0.90253,0.62794,-0.09397,-0.06794
13.32283,14.38577,-0.67483,0.90775,0.57053,0.25119,1.77941,-0.77743,0.59929,-0.51485,-0.09162,-0.06275
13.18931,14.85571,0.32290,1.00385,0.51534,0.51867,0.16727,0.33927,-0.92459,0.36357,0.38468,-0.17723
12.23857,13.66703,-0.99882,1.45235,0.40309,0.00628,0.15758,-0.54514,-0.81312,0.74474,0.00602,-0.13536
13.53653,14.16480,-2.58955,1.12828,0.16948,0.36504,0.49239,-0.85499,-0.70397,0.22829,-0.86952,-0.67731
13.54025,13.84155,-0.33903,1.31226,1.24568,0.27130,1.56842,0.87577,-0.30010,0.21211,0.93875,-0.85463
13.46267,13.43979,-2.90678,1.04562,0.52051,0.75073,0.59049,0.31913,-0.42830,-0.49609,-0.14938,-0.86125
12.02814,14.38289,-3.03950,0.83501,0.81220,0.60240,0.93092,0.96699,-0.88443,0.58645,0.26175,-0.51032
12.77149,13.83078,-1.26136,1.06990,1.37332,0.37619,0.52971,0.60427,0.03265,0.51163,0.27655,-0.42580
