# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.74339,14.59429,0.53630,0.51385,0.57673,0.37760,0.98342,-0.07296,-0.02949,0.90961,0.43061,-0.08187
12.74879,14.53223,0.91092,1.00411,0.60015,0.23697,1.39718,0.55954,-0.74813,-0.73507,0.55866,0.89520
13.20888,14.45694,0.23376,1.37061,0.86173,0.27455,0.42052,0.01870,-0.95464,-0.40261,-0.16805,-0.75485
12.68950,13.69804,-2.11891,1.06498,0.81145,0.81055,1.30132,0.29700,-0.44311,0.18384,0.33974,0.51601
12.39657,14.52819,0.39429,0.91638,0.33669,0.31007,1.85725,-0.94537,0.84047,0.76216,-0.19923,0.74900
13.13192,13.78809,-0.35609,1.09933,0.65658,0.49555,0.13968,0.99899,-0.51831,0.47842,0.94421,-0.31971
12.46451,13.21684,-3.07615,0.87197,0.15690,0.33809,0.15728,0.25332,-0.45653,0.09410,0.43168,0.41770
13.17161,13.57253,-1.88300,0.60513,0.00884,0.47004,1.82907,0.01489,-0.92915,0.92313,0.54935,-0.56484
12.13921,13.16518,0.10823,0.79004,0.59196,0.14576,0.26609,-0.05078,0.95703,0.16781,-0.49279,-0.83776
13.92517,13.90189,-3.06996,1.37781,0.54871,0.59434,0.20167,-0.11250,0.56459,-0.81247,0.31089,0.46854
13.37264,14.31983,-2.31149,0.93558,1.41718,0.73600,1.66847,0.22536,-0.71895,-0.46484,-0.08936,-0.06349
13.40109,13.62133,-0.46388,1.45220,0.29056,0.11491,0.73797,-0.83330,0.14861,-0.98128,0.21860,-0.81137
12.36652,13.11120,-1.14761,1.34339,1.43051,0.08500,1.41015,0.12343,0.04729,0.24018,0.36956,-0.81221
12.40050,14.82949,-2.24842,0.66222,1.40222,0.53603,1.62576,-0.36122,0.98193,-0.08504,0.73578,-0.08102
12.00996,13.98462,0.61379,1.41813,1.42909,0.68490,1.73234,0.26966,-0.44646,-0.45406,0.39511,0.56149
12.40223,14.71763,-3.41652,0.75595,0.45679,0.76529,0.01027,0.64549,0.32670,-0.81542,-0.55199,-0.58377
13.09290,13.42811,-2.50421,0.65957,1.32613,0.37798,1.61014,-0.44371,0.58419,-0.29672,0.03934,-0.19482
12.14598,14.83957,0.82718,1.03930,1.31679,0.93796,1.94982,0.14488,-0.83049,0.31619,-0.06965,0.13467
12.07337,13.16459,-0.52888,0.55630,0.24424,0.15192,1.76478,-0.10506,-0.94571,0.10698,-0.38057,-0.73423
13.20974,13.10453,-2.91389,1.24976,1.00556,0.89879,0.11010,-0.12950,0.74988,0.25308,-0.41116,-0.50563
12.43594,14.93516,-1.09636,0.73607,0.41298,0.97451,0.33103,-0.26409,0.91534,-0.86734,0.46001,-0.00860
13.08641,14.13991,-0.30381,1.30972,0.07429,0.47124,1.40258,0.69690,0.75753,0.74870,-0.30169,0.69950
