# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
12.38430,13.46956,-2.13919,1.44879,0.97591,0.43480,1.94688,0.13235,0.80158,0.24085,0.31286,-0.42899
13.95527,13.36449,-0.89513,1.04870,0.51844,0.33926,1.59283,-0.60456,0.55166,0.96086,0.20025,-0.62970
12.58657,14.45788,-1.66071,1.09236,1.15400,0.78523,1.25717,0.78071,0.02521,-0.49810,-0.78792,0.41152
12.44510,13.73968,-2.09675,0.64072,0.03917,0.15140,0.06027,-0.53779,-0.29226,0.99442,0.97059,0.90621
12.73463,14.26206,0.15529,0.55315,0.55479,0.19409,0.29960,0.39311,0.67313,0.36411,-0.25607,0.44365
12.02441,14.31838,-0.10305,1.43627,1.10014,0.80652,1.49535,-0.00013,0.28765,-0.55896,-0.27652,-0.32962
12.05295,14.42993,-2.95982,0.94221,1.22805,0.51210,0.80155,-0.21209,-0.52754,0.51364,-0.21948,-0.79270
13.13701,13.12804,-0.55902,0.64318,1.04577,0.95778,0.65567,0.98320,-0.97980,-0.34082,0.42285,0.55417
12.24580,13.41516,0.00334,0.55091,1.28082,0.26662,0.56650,0.58506,-0.71185,-0.55306,0.78794,-0.38877
13.76626,14.20547,-1.95997,1.32393,0.54704,0.95700,0.97542,0.42632,0.62479,0.03412,-0.53362,-0.14901
13.20434,13.58317,-0.88725,1.49238,0.09687,0.02584,1.15845,-0.56960,-0.23368,0.39015,0.44959,0.47007
12.53898,14.93445,-0.54100,0.93170,0.28975,0.01544,1.87548,0.60366,0.75354,-0.56388,-0.88517,0.75784
12.15106,14.46554,-0.69623,1.21337,0.74814,0.58062,1.57606,-0.51660,-0.73011,0.76062,-0.93535,0.30550
12.53451,13.23851,-2.26251,1.35655,0.73815,0.78480,0.63364,0.51665,0.12472,-0.92577,-0.77611,-0.59823
13.70353,14.56194,-1.14985,0.68261,1.22220,0.84646,0.89516,-0.47985,0.07479,0.73743,0.13649,-0.32355
12.88193,13.25776,-0.59009,0.89034,1.42235,0.17028,1.19882,0.99930,0.18631,0.74169,0.16465,0.50268
12.32216,13.91077,-0.12464,1.17034,0.78117,0.36252,0.30962,-0.90432,-0.26284,0.28318,0.18339,-0.00950
